# PHA DATA for PSI muX-2021-Dec created by I-Huan Chiu
# Date: 2021-12-13 09:43:05
# Root file: ./data/2021Dec/hist.root
# Time cut range (ns): -504.0 - 504.0
# PHA data format: binID, energy(keV) at the bin center, content
1, 0.5, 88
2, 1.5, 111
3, 2.5, 100
4, 3.5, 109
5, 4.5, 123
6, 5.5, 115
7, 6.5, 146
8, 7.5, 140
9, 8.5, 171
10, 9.5, 226
11, 10.5, 269
12, 11.5, 340
13, 12.5, 410
14, 13.5, 450
15, 14.5, 448
16, 15.5, 445
17, 16.5, 490
18, 17.5, 491
19, 18.5, 531
20, 19.5, 489
21, 20.5, 496
22, 21.5, 577
23, 22.5, 845
24, 23.5, 947
25, 24.5, 697
26, 25.5, 620
27, 26.5, 501
28, 27.5, 553
29, 28.5, 567
30, 29.5, 612
31, 30.5, 522
32, 31.5, 536
33, 32.5, 679
34, 33.5, 1212
35, 34.5, 747
36, 35.5, 600
37, 36.5, 782
38, 37.5, 1089
39, 38.5, 738
40, 39.5, 815
41, 40.5, 784
42, 41.5, 940
43, 42.5, 2946
44, 43.5, 2028
45, 44.5, 637
46, 45.5, 620
47, 46.5, 747
48, 47.5, 613
49, 48.5, 569
50, 49.5, 612
51, 50.5, 648
52, 51.5, 744
53, 52.5, 927
54, 53.5, 872
55, 54.5, 1061
56, 55.5, 924
57, 56.5, 857
58, 57.5, 934
59, 58.5, 918
60, 59.5, 895
61, 60.5, 931
62, 61.5, 929
63, 62.5, 1041
64, 63.5, 1089
65, 64.5, 1327
66, 65.5, 3575
67, 66.5, 5120
68, 67.5, 1207
69, 68.5, 953
70, 69.5, 1041
71, 70.5, 1058
72, 71.5, 1047
73, 72.5, 1078
74, 73.5, 1067
75, 74.5, 1327
76, 75.5, 1573
77, 76.5, 1088
78, 77.5, 1072
79, 78.5, 1096
80, 79.5, 1497
81, 80.5, 1729
82, 81.5, 1267
83, 82.5, 1312
84, 83.5, 1666
85, 84.5, 1730
86, 85.5, 1438
87, 86.5, 1430
88, 87.5, 1619
89, 88.5, 2274
90, 89.5, 3035
91, 90.5, 2009
92, 91.5, 2882
93, 92.5, 11253
94, 93.5, 9972
95, 94.5, 2099
96, 95.5, 1651
97, 96.5, 1334
98, 97.5, 1214
99, 98.5, 1314
100, 99.5, 1630
101, 100.5, 1720
102, 101.5, 1273
103, 102.5, 1532
104, 103.5, 1547
105, 104.5, 1749
106, 105.5, 1697
107, 106.5, 1448
108, 107.5, 1397
109, 108.5, 1452
110, 109.5, 1438
111, 110.5, 1425
112, 111.5, 1474
113, 112.5, 1464
114, 113.5, 1389
115, 114.5, 1419
116, 115.5, 1484
117, 116.5, 1425
118, 117.5, 1531
119, 118.5, 1554
120, 119.5, 1589
121, 120.5, 1623
122, 121.5, 1646
123, 122.5, 1752
124, 123.5, 1876
125, 124.5, 2061
126, 125.5, 4633
127, 126.5, 5799
128, 127.5, 2116
129, 128.5, 1922
130, 129.5, 2105
131, 130.5, 2337
132, 131.5, 2893
133, 132.5, 6086
134, 133.5, 24927
135, 134.5, 12387
136, 135.5, 5447
137, 136.5, 4008
138, 137.5, 1643
139, 138.5, 1350
140, 139.5, 1345
141, 140.5, 1268
142, 141.5, 1322
143, 142.5, 1264
144, 143.5, 1263
145, 144.5, 1229
146, 145.5, 1334
147, 146.5, 1333
148, 147.5, 1335
149, 148.5, 1377
150, 149.5, 1344
151, 150.5, 1421
152, 151.5, 1435
153, 152.5, 1592
154, 153.5, 1662
155, 154.5, 1623
156, 155.5, 2035
157, 156.5, 3265
158, 157.5, 3786
159, 158.5, 10996
160, 159.5, 6558
161, 160.5, 1881
162, 161.5, 1473
163, 162.5, 1363
164, 163.5, 1376
165, 164.5, 1529
166, 165.5, 1687
167, 166.5, 4145
168, 167.5, 8431
169, 168.5, 2526
170, 169.5, 1442
171, 170.5, 2597
172, 171.5, 5078
173, 172.5, 2885
174, 173.5, 3792
175, 174.5, 2240
176, 175.5, 1628
177, 176.5, 1310
178, 177.5, 1201
179, 178.5, 1147
180, 179.5, 1088
181, 180.5, 1140
182, 181.5, 1363
183, 182.5, 1636
184, 183.5, 1209
185, 184.5, 1162
186, 185.5, 1067
187, 186.5, 1155
188, 187.5, 1460
189, 188.5, 2078
190, 189.5, 1451
191, 190.5, 1140
192, 191.5, 1151
193, 192.5, 1458
194, 193.5, 1287
195, 194.5, 1141
196, 195.5, 1210
197, 196.5, 1290
198, 197.5, 1208
199, 198.5, 1311
200, 199.5, 1203
201, 200.5, 1168
202, 201.5, 1144
203, 202.5, 1060
204, 203.5, 1054
205, 204.5, 1087
206, 205.5, 1030
207, 206.5, 1093
208, 207.5, 990
209, 208.5, 1022
210, 209.5, 1026
211, 210.5, 973
212, 211.5, 1360
213, 212.5, 1533
214, 213.5, 1063
215, 214.5, 952
216, 215.5, 983
217, 216.5, 939
218, 217.5, 986
219, 218.5, 968
220, 219.5, 968
221, 220.5, 910
222, 221.5, 940
223, 222.5, 891
224, 223.5, 925
225, 224.5, 893
226, 225.5, 923
227, 226.5, 1025
228, 227.5, 942
229, 228.5, 896
230, 229.5, 948
231, 230.5, 917
232, 231.5, 916
233, 232.5, 879
234, 233.5, 889
235, 234.5, 887
236, 235.5, 917
237, 236.5, 929
238, 237.5, 912
239, 238.5, 883
240, 239.5, 936
241, 240.5, 890
242, 241.5, 965
243, 242.5, 1099
244, 243.5, 1264
245, 244.5, 1387
246, 245.5, 1170
247, 246.5, 967
248, 247.5, 901
249, 248.5, 951
250, 249.5, 865
251, 250.5, 967
252, 251.5, 1224
253, 252.5, 1112
254, 253.5, 940
255, 254.5, 953
256, 255.5, 957
257, 256.5, 990
258, 257.5, 1026
259, 258.5, 1050
260, 259.5, 1174
261, 260.5, 1169
262, 261.5, 1275
263, 262.5, 1512
264, 263.5, 1725
265, 264.5, 3350
266, 265.5, 13557
267, 266.5, 14055
268, 267.5, 2407
269, 268.5, 2516
270, 269.5, 8613
271, 270.5, 5368
272, 271.5, 1288
273, 272.5, 875
274, 273.5, 608
275, 274.5, 668
276, 275.5, 744
277, 276.5, 712
278, 277.5, 610
279, 278.5, 624
280, 279.5, 563
281, 280.5, 573
282, 281.5, 558
283, 282.5, 535
284, 283.5, 560
285, 284.5, 623
286, 285.5, 547
287, 286.5, 602
288, 287.5, 542
289, 288.5, 543
290, 289.5, 555
291, 290.5, 504
292, 291.5, 531
293, 292.5, 517
294, 293.5, 541
295, 294.5, 541
296, 295.5, 508
297, 296.5, 554
298, 297.5, 495
299, 298.5, 486
300, 299.5, 509
301, 300.5, 532
302, 301.5, 457
303, 302.5, 495
304, 303.5, 498
305, 304.5, 508
306, 305.5, 468
307, 306.5, 533
308, 307.5, 553
309, 308.5, 613
310, 309.5, 470
311, 310.5, 503
312, 311.5, 497
313, 312.5, 462
314, 313.5, 537
315, 314.5, 771
316, 315.5, 633
317, 316.5, 485
318, 317.5, 484
319, 318.5, 450
320, 319.5, 524
321, 320.5, 492
322, 321.5, 457
323, 322.5, 464
324, 323.5, 462
325, 324.5, 476
326, 325.5, 447
327, 326.5, 449
328, 327.5, 491
329, 328.5, 482
330, 329.5, 457
331, 330.5, 433
332, 331.5, 470
333, 332.5, 461
334, 333.5, 497
335, 334.5, 498
336, 335.5, 531
337, 336.5, 566
338, 337.5, 651
339, 338.5, 528
340, 339.5, 514
341, 340.5, 524
342, 341.5, 539
343, 342.5, 585
344, 343.5, 668
345, 344.5, 856
346, 345.5, 1594
347, 346.5, 5893
348, 347.5, 5654
349, 348.5, 1086
350, 349.5, 438
351, 350.5, 429
352, 351.5, 416
353, 352.5, 431
354, 353.5, 497
355, 354.5, 517
356, 355.5, 483
357, 356.5, 546
358, 357.5, 1155
359, 358.5, 2453
360, 359.5, 931
361, 360.5, 511
362, 361.5, 841
363, 362.5, 1360
364, 363.5, 636
365, 364.5, 364
366, 365.5, 359
367, 366.5, 355
368, 367.5, 356
369, 368.5, 325
370, 369.5, 313
371, 370.5, 346
372, 371.5, 319
373, 372.5, 323
374, 373.5, 347
375, 374.5, 376
376, 375.5, 341
377, 376.5, 441
378, 377.5, 821
379, 378.5, 669
380, 379.5, 418
381, 380.5, 445
382, 381.5, 336
383, 382.5, 303
384, 383.5, 289
385, 384.5, 321
386, 385.5, 299
387, 386.5, 328
388, 387.5, 311
389, 388.5, 327
390, 389.5, 322
391, 390.5, 336
392, 391.5, 338
393, 392.5, 314
394, 393.5, 325
395, 394.5, 332
396, 395.5, 349
397, 396.5, 332
398, 397.5, 356
399, 398.5, 417
400, 399.5, 411
401, 400.5, 766
402, 401.5, 1108
403, 402.5, 562
404, 403.5, 481
405, 404.5, 524
406, 405.5, 786
407, 406.5, 455
408, 407.5, 395
409, 408.5, 384
410, 409.5, 341
411, 410.5, 339
412, 411.5, 366
413, 412.5, 712
414, 413.5, 800
415, 414.5, 358
416, 415.5, 286
417, 416.5, 339
418, 417.5, 396
419, 418.5, 310
420, 419.5, 308
421, 420.5, 336
422, 421.5, 336
423, 422.5, 366
424, 423.5, 535
425, 424.5, 938
426, 425.5, 567
427, 426.5, 373
428, 427.5, 383
429, 428.5, 599
430, 429.5, 468
431, 430.5, 282
432, 431.5, 317
433, 432.5, 405
434, 433.5, 386
435, 434.5, 346
436, 435.5, 496
437, 436.5, 693
438, 437.5, 539
439, 438.5, 729
440, 439.5, 493
441, 440.5, 372
442, 441.5, 364
443, 442.5, 552
444, 443.5, 447
445, 444.5, 353
446, 445.5, 415
447, 446.5, 625
448, 447.5, 671
449, 448.5, 426
450, 449.5, 297
451, 450.5, 310
452, 451.5, 457
453, 452.5, 537
454, 453.5, 656
455, 454.5, 542
456, 455.5, 336
457, 456.5, 370
458, 457.5, 509
459, 458.5, 538
460, 459.5, 348
461, 460.5, 348
462, 461.5, 452
463, 462.5, 420
464, 463.5, 414
465, 464.5, 366
466, 465.5, 347
467, 466.5, 330
468, 467.5, 335
469, 468.5, 329
470, 469.5, 317
471, 470.5, 328
472, 471.5, 341
473, 472.5, 334
474, 473.5, 258
475, 474.5, 251
476, 475.5, 274
477, 476.5, 256
478, 477.5, 298
479, 478.5, 246
480, 479.5, 260
481, 480.5, 226
482, 481.5, 243
483, 482.5, 202
484, 483.5, 252
485, 484.5, 255
486, 485.5, 256
487, 486.5, 231
488, 487.5, 240
489, 488.5, 237
490, 489.5, 254
491, 490.5, 241
492, 491.5, 265
493, 492.5, 238
494, 493.5, 237
495, 494.5, 238
496, 495.5, 224
497, 496.5, 231
498, 497.5, 214
499, 498.5, 257
