# PHA DATA for PSI muX-2021-Dec created by I-Huan Chiu
# Date: 2021-12-13 09:43:05
# Root file: ./data/2021Dec/hist.root
# Time cut range (ns): -504.0 - 504.0
# PHA data format: binID, energy(keV) at the bin center, content
1, 0.5, 563
2, 1.5, 446
3, 2.5, 528
4, 3.5, 487
5, 4.5, 522
6, 5.5, 478
7, 6.5, 547
8, 7.5, 564
9, 8.5, 597
10, 9.5, 632
11, 10.5, 735
12, 11.5, 796
13, 12.5, 931
14, 13.5, 1073
15, 14.5, 1174
16, 15.5, 1388
17, 16.5, 1459
18, 17.5, 1674
19, 18.5, 1899
20, 19.5, 2038
21, 20.5, 2180
22, 21.5, 2363
23, 22.5, 3674
24, 23.5, 4350
25, 24.5, 2936
26, 25.5, 2746
27, 26.5, 2197
28, 27.5, 2317
29, 28.5, 2160
30, 29.5, 2361
31, 30.5, 2365
32, 31.5, 2549
33, 32.5, 2949
34, 33.5, 4967
35, 34.5, 3462
36, 35.5, 2921
37, 36.5, 3422
38, 37.5, 4838
39, 38.5, 3815
40, 39.5, 4194
41, 40.5, 4234
42, 41.5, 4747
43, 42.5, 12322
44, 43.5, 10812
45, 44.5, 3057
46, 45.5, 3076
47, 46.5, 3241
48, 47.5, 2967
49, 48.5, 3053
50, 49.5, 3161
51, 50.5, 3340
52, 51.5, 3703
53, 52.5, 4374
54, 53.5, 4411
55, 54.5, 6128
56, 55.5, 4923
57, 56.5, 4311
58, 57.5, 4365
59, 58.5, 4137
60, 59.5, 4367
61, 60.5, 4680
62, 61.5, 4595
63, 62.5, 4946
64, 63.5, 5374
65, 64.5, 6499
66, 65.5, 15406
67, 66.5, 17588
68, 67.5, 4730
69, 68.5, 4504
70, 69.5, 4757
71, 70.5, 4602
72, 71.5, 4726
73, 72.5, 4804
74, 73.5, 5096
75, 74.5, 6133
76, 75.5, 6728
77, 76.5, 4790
78, 77.5, 5009
79, 78.5, 5012
80, 79.5, 5855
81, 80.5, 6451
82, 81.5, 5042
83, 82.5, 5415
84, 83.5, 8035
85, 84.5, 7139
86, 85.5, 5594
87, 86.5, 5955
88, 87.5, 6424
89, 88.5, 8423
90, 89.5, 9634
91, 90.5, 7388
92, 91.5, 10620
93, 92.5, 32761
94, 93.5, 18890
95, 94.5, 5685
96, 95.5, 5109
97, 96.5, 4437
98, 97.5, 4254
99, 98.5, 4359
100, 99.5, 5450
101, 100.5, 4827
102, 101.5, 4345
103, 102.5, 4773
104, 103.5, 4841
105, 104.5, 5841
106, 105.5, 4904
107, 106.5, 4162
108, 107.5, 4089
109, 108.5, 4131
110, 109.5, 4044
111, 110.5, 4089
112, 111.5, 4058
113, 112.5, 4040
114, 113.5, 4041
115, 114.5, 4040
116, 115.5, 4057
117, 116.5, 4082
118, 117.5, 4120
119, 118.5, 4135
120, 119.5, 4214
121, 120.5, 4319
122, 121.5, 4520
123, 122.5, 4618
124, 123.5, 5164
125, 124.5, 6468
126, 125.5, 16674
127, 126.5, 11506
128, 127.5, 4434
129, 128.5, 4597
130, 129.5, 4945
131, 130.5, 5433
132, 131.5, 6575
133, 132.5, 15984
134, 133.5, 39730
135, 134.5, 10294
136, 135.5, 9328
137, 136.5, 4840
138, 137.5, 2972
139, 138.5, 2641
140, 139.5, 2668
141, 140.5, 2621
142, 141.5, 2612
143, 142.5, 2665
144, 143.5, 2658
145, 144.5, 2670
146, 145.5, 2472
147, 146.5, 2682
148, 147.5, 2647
149, 148.5, 2682
150, 149.5, 2793
151, 150.5, 2847
152, 151.5, 2910
153, 152.5, 3003
154, 153.5, 3002
155, 154.5, 3312
156, 155.5, 4694
157, 156.5, 6179
158, 157.5, 7277
159, 158.5, 14745
160, 159.5, 5362
161, 160.5, 2773
162, 161.5, 2480
163, 162.5, 2395
164, 163.5, 2472
165, 164.5, 2757
166, 165.5, 3260
167, 166.5, 7828
168, 167.5, 8615
169, 168.5, 2611
170, 169.5, 2552
171, 170.5, 4728
172, 171.5, 5725
173, 172.5, 3955
174, 173.5, 4179
175, 174.5, 2753
176, 175.5, 2194
177, 176.5, 1974
178, 177.5, 1831
179, 178.5, 1787
180, 179.5, 1848
181, 180.5, 1856
182, 181.5, 2208
183, 182.5, 2090
184, 183.5, 1914
185, 184.5, 1712
186, 185.5, 1731
187, 186.5, 1883
188, 187.5, 2395
189, 188.5, 2582
190, 189.5, 1937
191, 190.5, 1799
192, 191.5, 1830
193, 192.5, 2000
194, 193.5, 1797
195, 194.5, 1674
196, 195.5, 1832
197, 196.5, 1699
198, 197.5, 1758
199, 198.5, 1804
200, 199.5, 1605
201, 200.5, 1630
202, 201.5, 1628
203, 202.5, 1597
204, 203.5, 1527
205, 204.5, 1653
206, 205.5, 1617
207, 206.5, 1544
208, 207.5, 1559
209, 208.5, 1452
210, 209.5, 1479
211, 210.5, 1601
212, 211.5, 2384
213, 212.5, 1881
214, 213.5, 1433
215, 214.5, 1564
216, 215.5, 1442
217, 216.5, 1429
218, 217.5, 1448
219, 218.5, 1383
220, 219.5, 1356
221, 220.5, 1364
222, 221.5, 1468
223, 222.5, 1447
224, 223.5, 1398
225, 224.5, 1364
226, 225.5, 1396
227, 226.5, 1467
228, 227.5, 1347
229, 228.5, 1303
230, 229.5, 1350
231, 230.5, 1379
232, 231.5, 1371
233, 232.5, 1298
234, 233.5, 1336
235, 234.5, 1363
236, 235.5, 1298
237, 236.5, 1293
238, 237.5, 1362
239, 238.5, 1358
240, 239.5, 1305
241, 240.5, 1367
242, 241.5, 1401
243, 242.5, 1603
244, 243.5, 1697
245, 244.5, 1648
246, 245.5, 1341
247, 246.5, 1286
248, 247.5, 1337
249, 248.5, 1356
250, 249.5, 1403
251, 250.5, 1605
252, 251.5, 1884
253, 252.5, 1389
254, 253.5, 1335
255, 254.5, 1406
256, 255.5, 1375
257, 256.5, 1464
258, 257.5, 1545
259, 258.5, 1657
260, 259.5, 1728
261, 260.5, 1828
262, 261.5, 2001
263, 262.5, 2323
264, 263.5, 3136
265, 264.5, 7706
266, 265.5, 19562
267, 266.5, 6859
268, 267.5, 2191
269, 268.5, 5648
270, 269.5, 9825
271, 270.5, 2573
272, 271.5, 1448
273, 272.5, 966
274, 273.5, 823
275, 274.5, 913
276, 275.5, 946
277, 276.5, 874
278, 277.5, 778
279, 278.5, 818
280, 279.5, 773
281, 280.5, 748
282, 281.5, 778
283, 282.5, 806
284, 283.5, 768
285, 284.5, 734
286, 285.5, 791
287, 286.5, 703
288, 287.5, 735
289, 288.5, 772
290, 289.5, 770
291, 290.5, 656
292, 291.5, 742
293, 292.5, 735
294, 293.5, 762
295, 294.5, 710
296, 295.5, 724
297, 296.5, 723
298, 297.5, 656
299, 298.5, 719
300, 299.5, 717
301, 300.5, 698
302, 301.5, 703
303, 302.5, 699
304, 303.5, 680
305, 304.5, 715
306, 305.5, 708
307, 306.5, 703
308, 307.5, 784
309, 308.5, 734
310, 309.5, 665
311, 310.5, 705
312, 311.5, 680
313, 312.5, 698
314, 313.5, 825
315, 314.5, 1144
316, 315.5, 806
317, 316.5, 690
318, 317.5, 616
319, 318.5, 676
320, 319.5, 730
321, 320.5, 751
322, 321.5, 678
323, 322.5, 663
324, 323.5, 660
325, 324.5, 661
326, 325.5, 626
327, 326.5, 631
328, 327.5, 654
329, 328.5, 653
330, 329.5, 653
331, 330.5, 661
332, 331.5, 677
333, 332.5, 702
334, 333.5, 665
335, 334.5, 783
336, 335.5, 815
337, 336.5, 940
338, 337.5, 875
339, 338.5, 824
340, 339.5, 824
341, 340.5, 830
342, 341.5, 841
343, 342.5, 956
344, 343.5, 1043
345, 344.5, 1327
346, 345.5, 2904
347, 346.5, 8374
348, 347.5, 4742
349, 348.5, 730
350, 349.5, 596
351, 350.5, 650
352, 351.5, 651
353, 352.5, 704
354, 353.5, 666
355, 354.5, 714
356, 355.5, 767
357, 356.5, 917
358, 357.5, 2058
359, 358.5, 2620
360, 359.5, 928
361, 360.5, 724
362, 361.5, 1305
363, 362.5, 1491
364, 363.5, 641
365, 364.5, 514
366, 365.5, 515
367, 366.5, 541
368, 367.5, 498
369, 368.5, 477
370, 369.5, 501
371, 370.5, 531
372, 371.5, 517
373, 372.5, 520
374, 373.5, 474
375, 374.5, 538
376, 375.5, 554
377, 376.5, 863
378, 377.5, 1312
379, 378.5, 705
380, 379.5, 570
381, 380.5, 557
382, 381.5, 459
383, 382.5, 473
384, 383.5, 427
385, 384.5, 471
386, 385.5, 454
387, 386.5, 430
388, 387.5, 483
389, 388.5, 501
390, 389.5, 545
391, 390.5, 506
392, 391.5, 484
393, 392.5, 465
394, 393.5, 480
395, 394.5, 514
396, 395.5, 484
397, 396.5, 514
398, 397.5, 517
399, 398.5, 577
400, 399.5, 681
401, 400.5, 1238
402, 401.5, 1264
403, 402.5, 683
404, 403.5, 701
405, 404.5, 850
406, 405.5, 916
407, 406.5, 585
408, 407.5, 627
409, 408.5, 512
410, 409.5, 505
411, 410.5, 523
412, 411.5, 600
413, 412.5, 1134
414, 413.5, 862
415, 414.5, 465
416, 415.5, 473
417, 416.5, 493
418, 417.5, 540
419, 418.5, 492
420, 419.5, 420
421, 420.5, 519
422, 421.5, 506
423, 422.5, 545
424, 423.5, 893
425, 424.5, 1153
426, 425.5, 649
427, 426.5, 530
428, 427.5, 603
429, 428.5, 825
430, 429.5, 495
431, 430.5, 417
432, 431.5, 505
433, 432.5, 568
434, 433.5, 544
435, 434.5, 495
436, 435.5, 836
437, 436.5, 922
438, 437.5, 820
439, 438.5, 1031
440, 439.5, 621
441, 440.5, 531
442, 441.5, 582
443, 442.5, 771
444, 443.5, 560
445, 444.5, 488
446, 445.5, 590
447, 446.5, 905
448, 447.5, 805
449, 448.5, 506
450, 449.5, 481
451, 450.5, 513
452, 451.5, 730
453, 452.5, 786
454, 453.5, 812
455, 454.5, 619
456, 455.5, 504
457, 456.5, 569
458, 457.5, 743
459, 458.5, 659
460, 459.5, 453
461, 460.5, 482
462, 461.5, 583
463, 462.5, 484
464, 463.5, 485
465, 464.5, 477
466, 465.5, 521
467, 466.5, 430
468, 467.5, 498
469, 468.5, 494
470, 469.5, 419
471, 470.5, 501
472, 471.5, 488
473, 472.5, 396
474, 473.5, 406
475, 474.5, 366
476, 475.5, 364
477, 476.5, 366
478, 477.5, 341
479, 478.5, 355
480, 479.5, 345
481, 480.5, 368
482, 481.5, 338
483, 482.5, 314
484, 483.5, 314
485, 484.5, 361
486, 485.5, 315
487, 486.5, 320
488, 487.5, 350
489, 488.5, 370
490, 489.5, 368
491, 490.5, 322
492, 491.5, 326
493, 492.5, 336
494, 493.5, 357
495, 494.5, 358
496, 495.5, 349
497, 496.5, 326
498, 497.5, 342
499, 498.5, 371
500, 499.5, 351
501, 500.5, 336
502, 501.5, 346
503, 502.5, 369
504, 503.5, 396
505, 504.5, 381
506, 505.5, 411
507, 506.5, 422
508, 507.5, 446
509, 508.5, 589
510, 509.5, 865
511, 510.5, 1067
512, 511.5, 909
513, 512.5, 569
514, 513.5, 395
515, 514.5, 346
516, 515.5, 337
517, 516.5, 441
518, 517.5, 387
519, 518.5, 321
520, 519.5, 295
521, 520.5, 273
522, 521.5, 331
523, 522.5, 317
524, 523.5, 306
525, 524.5, 294
526, 525.5, 321
527, 526.5, 280
528, 527.5, 302
529, 528.5, 321
530, 529.5, 309
531, 530.5, 385
532, 531.5, 301
533, 532.5, 314
534, 533.5, 326
535, 534.5, 298
536, 535.5, 302
537, 536.5, 283
538, 537.5, 297
539, 538.5, 281
540, 539.5, 305
541, 540.5, 298
542, 541.5, 323
543, 542.5, 281
544, 543.5, 304
545, 544.5, 292
546, 545.5, 318
547, 546.5, 273
548, 547.5, 313
549, 548.5, 327
550, 549.5, 324
551, 550.5, 299
552, 551.5, 284
553, 552.5, 326
554, 553.5, 315
555, 554.5, 287
556, 555.5, 297
557, 556.5, 297
558, 557.5, 300
559, 558.5, 280
560, 559.5, 313
561, 560.5, 301
562, 561.5, 290
563, 562.5, 333
564, 563.5, 379
565, 564.5, 374
566, 565.5, 366
567, 566.5, 342
568, 567.5, 328
569, 568.5, 308
570, 569.5, 332
571, 570.5, 307
572, 571.5, 290
573, 572.5, 288
574, 573.5, 299
575, 574.5, 304
576, 575.5, 312
577, 576.5, 300
578, 577.5, 297
579, 578.5, 300
580, 579.5, 329
581, 580.5, 307
582, 581.5, 298
583, 582.5, 307
584, 583.5, 322
585, 584.5, 325
586, 585.5, 358
587, 586.5, 316
588, 587.5, 306
589, 588.5, 331
590, 589.5, 326
591, 590.5, 307
592, 591.5, 281
593, 592.5, 325
594, 593.5, 352
595, 594.5, 316
596, 595.5, 408
597, 596.5, 384
598, 597.5, 381
599, 598.5, 391
600, 599.5, 428
601, 600.5, 350
602, 601.5, 382
603, 602.5, 362
604, 603.5, 404
605, 604.5, 358
606, 605.5, 352
607, 606.5, 398
608, 607.5, 370
609, 608.5, 363
610, 609.5, 364
