# PHA DATA for PSI muX-2021-Dec created by I-Huan Chiu
# Date: 2021-12-13 09:43:05
# Root file: ./data/2021Dec/hist.root
# Time cut range (ns): -504.0 - 504.0
# PHA data format: binID, energy(keV) at the bin center, content
1, 0.5, 544
2, 1.5, 602
3, 2.5, 567
4, 3.5, 653
5, 4.5, 681
6, 5.5, 687
7, 6.5, 674
8, 7.5, 743
9, 8.5, 713
10, 9.5, 779
11, 10.5, 809
12, 11.5, 862
13, 12.5, 952
14, 13.5, 990
15, 14.5, 1084
16, 15.5, 1220
17, 16.5, 1339
18, 17.5, 1437
19, 18.5, 1596
20, 19.5, 1800
21, 20.5, 1942
22, 21.5, 2147
23, 22.5, 2657
24, 23.5, 4336
25, 24.5, 3271
26, 25.5, 2975
27, 26.5, 2656
28, 27.5, 2578
29, 28.5, 2676
30, 29.5, 2786
31, 30.5, 2885
32, 31.5, 2956
33, 32.5, 3277
34, 33.5, 4702
35, 34.5, 4904
36, 35.5, 3457
37, 36.5, 3747
38, 37.5, 4837
39, 38.5, 4597
40, 39.5, 4323
41, 40.5, 4519
42, 41.5, 5020
43, 42.5, 9690
44, 43.5, 13762
45, 44.5, 4539
46, 45.5, 3394
47, 46.5, 3652
48, 47.5, 3334
49, 48.5, 3354
50, 49.5, 3499
51, 50.5, 3686
52, 51.5, 4023
53, 52.5, 4740
54, 53.5, 4891
55, 54.5, 5684
56, 55.5, 5824
57, 56.5, 5062
58, 57.5, 5028
59, 58.5, 4922
60, 59.5, 5058
61, 60.5, 5301
62, 61.5, 5379
63, 62.5, 5950
64, 63.5, 6172
65, 64.5, 7185
66, 65.5, 13810
67, 66.5, 22812
68, 67.5, 9293
69, 68.5, 5341
70, 69.5, 5526
71, 70.5, 5625
72, 71.5, 5642
73, 72.5, 5787
74, 73.5, 5951
75, 74.5, 6350
76, 75.5, 7003
77, 76.5, 6197
78, 77.5, 6098
79, 78.5, 6042
80, 79.5, 7044
81, 80.5, 7907
82, 81.5, 6565
83, 82.5, 6393
84, 83.5, 8194
85, 84.5, 9025
86, 85.5, 6963
87, 86.5, 7277
88, 87.5, 7760
89, 88.5, 9700
90, 89.5, 11668
91, 90.5, 9727
92, 91.5, 12778
93, 92.5, 32152
94, 93.5, 31134
95, 94.5, 9187
96, 95.5, 6366
97, 96.5, 5547
98, 97.5, 5115
99, 98.5, 5462
100, 99.5, 6276
101, 100.5, 6252
102, 101.5, 5423
103, 102.5, 5848
104, 103.5, 5831
105, 104.5, 6492
106, 105.5, 6319
107, 106.5, 5262
108, 107.5, 5044
109, 108.5, 5216
110, 109.5, 5230
111, 110.5, 5019
112, 111.5, 5023
113, 112.5, 4897
114, 113.5, 5183
115, 114.5, 5191
116, 115.5, 5143
117, 116.5, 5193
118, 117.5, 5150
119, 118.5, 5246
120, 119.5, 5493
121, 120.5, 5376
122, 121.5, 5585
123, 122.5, 6042
