# PHA DATA for PSI muX-2021-Dec created by I-Huan Chiu
# Date: 2021-12-13 09:43:05
# Root file: ./data/2021Dec/hist.root
# Time cut range (ns): -504.0 - 504.0
# PHA data format: binID, energy(keV) at the bin center, content
1, 0.5, 788
2, 1.5, 619
3, 2.5, 587
4, 3.5, 621
5, 4.5, 665
6, 5.5, 642
7, 6.5, 702
8, 7.5, 716
9, 8.5, 825
10, 9.5, 928
11, 10.5, 1051
12, 11.5, 1222
13, 12.5, 1414
14, 13.5, 1621
15, 14.5, 1629
16, 15.5, 1752
17, 16.5, 1863
18, 17.5, 1984
19, 18.5, 2073
20, 19.5, 2166
21, 20.5, 2245
22, 21.5, 2455
23, 22.5, 3834
24, 23.5, 4302
25, 24.5, 2868
26, 25.5, 2626
27, 26.5, 2235
28, 27.5, 2364
29, 28.5, 2430
30, 29.5, 2439
31, 30.5, 2496
32, 31.5, 2718
33, 32.5, 3280
34, 33.5, 5254
35, 34.5, 3263
36, 35.5, 2955
37, 36.5, 3508
38, 37.5, 4738
39, 38.5, 3622
40, 39.5, 3973
41, 40.5, 3908
42, 41.5, 4916
43, 42.5, 13035
44, 43.5, 8530
45, 44.5, 2892
46, 45.5, 2886
47, 46.5, 3328
48, 47.5, 2867
49, 48.5, 2993
50, 49.5, 3099
51, 50.5, 3274
52, 51.5, 3741
53, 52.5, 4387
54, 53.5, 4177
55, 54.5, 5500
56, 55.5, 4595
57, 56.5, 4339
58, 57.5, 4214
59, 58.5, 4175
60, 59.5, 4564
61, 60.5, 4725
62, 61.5, 4653
63, 62.5, 5173
64, 63.5, 5737
65, 64.5, 6743
66, 65.5, 15829
67, 66.5, 17688
68, 67.5, 4872
69, 68.5, 4547
70, 69.5, 4791
71, 70.5, 4952
72, 71.5, 5074
73, 72.5, 5204
74, 73.5, 5180
75, 74.5, 6376
76, 75.5, 7023
77, 76.5, 5203
78, 77.5, 5137
79, 78.5, 5070
80, 79.5, 6033
81, 80.5, 6645
82, 81.5, 5254
83, 82.5, 5505
84, 83.5, 7579
85, 84.5, 6791
86, 85.5, 5736
87, 86.5, 6321
88, 87.5, 6844
89, 88.5, 9016
90, 89.5, 9986
91, 90.5, 7768
92, 91.5, 11327
93, 92.5, 34674
94, 93.5, 19649
95, 94.5, 5932
96, 95.5, 5337
97, 96.5, 4507
98, 97.5, 4388
99, 98.5, 4601
100, 99.5, 5589
101, 100.5, 4944
102, 101.5, 4580
103, 102.5, 5009
104, 103.5, 4767
105, 104.5, 5521
106, 105.5, 4996
107, 106.5, 4304
108, 107.5, 4344
109, 108.5, 4344
110, 109.5, 4165
111, 110.5, 4153
112, 111.5, 4142
113, 112.5, 4193
114, 113.5, 4224
115, 114.5, 4281
116, 115.5, 4276
117, 116.5, 4269
118, 117.5, 4327
119, 118.5, 4473
120, 119.5, 4415
121, 120.5, 4469
122, 121.5, 4622
123, 122.5, 4925
124, 123.5, 5271
125, 124.5, 6398
126, 125.5, 14981
127, 126.5, 10670
128, 127.5, 4788
129, 128.5, 5059
130, 129.5, 5413
131, 130.5, 6011
132, 131.5, 7395
133, 132.5, 16951
134, 133.5, 41458
135, 134.5, 10677
136, 135.5, 9881
137, 136.5, 4976
138, 137.5, 3099
139, 138.5, 2858
140, 139.5, 2765
141, 140.5, 2689
142, 141.5, 2748
143, 142.5, 2693
144, 143.5, 2714
145, 144.5, 2728
146, 145.5, 2705
147, 146.5, 2838
148, 147.5, 2770
149, 148.5, 2969
150, 149.5, 2895
151, 150.5, 2953
152, 151.5, 3127
153, 152.5, 3231
154, 153.5, 3296
155, 154.5, 3419
156, 155.5, 4645
157, 156.5, 6310
158, 157.5, 7874
159, 158.5, 15648
160, 159.5, 5476
161, 160.5, 2894
162, 161.5, 2527
163, 162.5, 2595
164, 163.5, 2709
165, 164.5, 2920
166, 165.5, 3542
167, 166.5, 8423
168, 167.5, 8727
169, 168.5, 2811
170, 169.5, 2764
171, 170.5, 5184
172, 171.5, 5979
173, 172.5, 4255
174, 173.5, 4443
175, 174.5, 2807
176, 175.5, 2155
177, 176.5, 2075
178, 177.5, 1870
179, 178.5, 1876
180, 179.5, 1895
181, 180.5, 2013
182, 181.5, 2321
183, 182.5, 2347
184, 183.5, 1874
185, 184.5, 1789
186, 185.5, 1935
187, 186.5, 1947
188, 187.5, 2425
189, 188.5, 2798
190, 189.5, 2082
191, 190.5, 1785
192, 191.5, 1821
193, 192.5, 2153
194, 193.5, 1878
195, 194.5, 1779
196, 195.5, 1952
197, 196.5, 1797
198, 197.5, 1788
199, 198.5, 1864
200, 199.5, 1862
201, 200.5, 1702
202, 201.5, 1765
203, 202.5, 1660
204, 203.5, 1705
205, 204.5, 1631
206, 205.5, 1658
207, 206.5, 1659
208, 207.5, 1613
209, 208.5, 1511
210, 209.5, 1520
211, 210.5, 1638
212, 211.5, 2317
213, 212.5, 1983
214, 213.5, 1550
215, 214.5, 1511
216, 215.5, 1574
217, 216.5, 1353
218, 217.5, 1439
219, 218.5, 1458
220, 219.5, 1467
221, 220.5, 1431
222, 221.5, 1392
223, 222.5, 1450
224, 223.5, 1364
