# PHA DATA for PSI muX-2021-Dec created by I-Huan Chiu
# Date: 2021-12-13 09:43:05
# Root file: ./data/2021Dec/hist.root
# Time cut range (ns): -504.0 - 504.0
# PHA data format: binID, energy(keV) at the bin center, content
1, 0.5, 138
2, 1.5, 146
3, 2.5, 138
4, 3.5, 147
5, 4.5, 158
6, 5.5, 171
7, 6.5, 168
8, 7.5, 199
9, 8.5, 175
10, 9.5, 190
11, 10.5, 199
12, 11.5, 192
13, 12.5, 221
14, 13.5, 246
15, 14.5, 195
16, 15.5, 237
17, 16.5, 265
18, 17.5, 318
19, 18.5, 369
20, 19.5, 407
21, 20.5, 536
22, 21.5, 675
23, 22.5, 1364
24, 23.5, 1612
25, 24.5, 1218
26, 25.5, 968
27, 26.5, 844
28, 27.5, 771
29, 28.5, 782
30, 29.5, 890
31, 30.5, 911
32, 31.5, 914
33, 32.5, 1118
34, 33.5, 2588
35, 34.5, 988
36, 35.5, 989
37, 36.5, 1215
38, 37.5, 2085
39, 38.5, 1174
40, 39.5, 1538
41, 40.5, 1407
42, 41.5, 1643
43, 42.5, 6985
44, 43.5, 3203
45, 44.5, 951
46, 45.5, 1034
47, 46.5, 1203
48, 47.5, 986
49, 48.5, 975
50, 49.5, 1064
51, 50.5, 1140
52, 51.5, 1247
53, 52.5, 1748
54, 53.5, 1473
55, 54.5, 2065
56, 55.5, 1481
57, 56.5, 1558
58, 57.5, 1469
59, 58.5, 1421
60, 59.5, 1563
61, 60.5, 1631
62, 61.5, 1608
63, 62.5, 1836
64, 63.5, 1949
65, 64.5, 2311
66, 65.5, 6479
67, 66.5, 9862
68, 67.5, 1661
69, 68.5, 1693
70, 69.5, 1736
71, 70.5, 1787
72, 71.5, 1796
73, 72.5, 1758
74, 73.5, 1981
75, 74.5, 2401
76, 75.5, 3637
77, 76.5, 1750
78, 77.5, 1873
79, 78.5, 1921
80, 79.5, 2293
81, 80.5, 2986
82, 81.5, 1846
83, 82.5, 1963
84, 83.5, 2884
85, 84.5, 2760
86, 85.5, 2147
87, 86.5, 2424
88, 87.5, 2488
89, 88.5, 3470
90, 89.5, 5451
91, 90.5, 2940
92, 91.5, 3616
93, 92.5, 20643
94, 93.5, 12819
95, 94.5, 2791
96, 95.5, 2554
97, 96.5, 1926
98, 97.5, 1718
99, 98.5, 1762
100, 99.5, 2585
101, 100.5, 2287
102, 101.5, 1783
103, 102.5, 2240
104, 103.5, 1968
105, 104.5, 2572
106, 105.5, 2311
107, 106.5, 1897
108, 107.5, 1861
109, 108.5, 1893
110, 109.5, 1974
111, 110.5, 1916
112, 111.5, 1856
113, 112.5, 1928
114, 113.5, 1880
115, 114.5, 1894
116, 115.5, 1889
117, 116.5, 1917
118, 117.5, 1939
119, 118.5, 1992
120, 119.5, 1862
121, 120.5, 1965
122, 121.5, 2025
123, 122.5, 2129
124, 123.5, 2273
125, 124.5, 2477
126, 125.5, 8025
127, 126.5, 4759
128, 127.5, 2184
129, 128.5, 2293
130, 129.5, 2557
131, 130.5, 2800
132, 131.5, 3406
