# PHA DATA for PSI muX-2021-Dec created by I-Huan Chiu
# Date: 2021-12-13 09:43:05
# Root file: ./data/2021Dec/hist.root
# Time cut range (ns): -504.0 - 504.0
# PHA data format: binID, energy(keV) at the bin center, content
1, 0.5, 710
2, 1.5, 641
3, 2.5, 575
4, 3.5, 613
5, 4.5, 579
6, 5.5, 627
7, 6.5, 667
8, 7.5, 714
9, 8.5, 692
10, 9.5, 766
11, 10.5, 859
12, 11.5, 951
13, 12.5, 1028
14, 13.5, 1218
15, 14.5, 1246
16, 15.5, 1505
17, 16.5, 1704
18, 17.5, 1838
19, 18.5, 1977
20, 19.5, 2307
21, 20.5, 2356
22, 21.5, 2732
23, 22.5, 3668
24, 23.5, 4333
25, 24.5, 3555
26, 25.5, 2838
27, 26.5, 2703
28, 27.5, 2563
29, 28.5, 2576
30, 29.5, 2700
31, 30.5, 2801
32, 31.5, 2974
33, 32.5, 3712
34, 33.5, 4634
35, 34.5, 4151
36, 35.5, 3459
37, 36.5, 3797
38, 37.5, 4562
39, 38.5, 4346
40, 39.5, 4163
41, 40.5, 4599
42, 41.5, 6438
43, 42.5, 10170
44, 43.5, 9083
45, 44.5, 4775
46, 45.5, 3258
47, 46.5, 3179
48, 47.5, 3142
49, 48.5, 3131
50, 49.5, 3216
51, 50.5, 3482
52, 51.5, 3785
53, 52.5, 4295
54, 53.5, 4695
55, 54.5, 5065
56, 55.5, 4900
57, 56.5, 4533
58, 57.5, 4441
59, 58.5, 4279
60, 59.5, 4534
61, 60.5, 4708
62, 61.5, 5027
63, 62.5, 5322
64, 63.5, 5850
65, 64.5, 8165
66, 65.5, 13574
67, 66.5, 15211
68, 67.5, 8966
69, 68.5, 5332
70, 69.5, 4892
71, 70.5, 4974
72, 71.5, 5056
73, 72.5, 5121
74, 73.5, 5180
75, 74.5, 5605
76, 75.5, 5663
77, 76.5, 5438
78, 77.5, 5255
79, 78.5, 5546
80, 79.5, 6129
81, 80.5, 6602
82, 81.5, 5879
83, 82.5, 6196
84, 83.5, 7023
85, 84.5, 7138
86, 85.5, 6352
87, 86.5, 6388
88, 87.5, 7244
89, 88.5, 8531
90, 89.5, 9424
91, 90.5, 9436
92, 91.5, 14308
93, 92.5, 24266
94, 93.5, 22321
95, 94.5, 11196
96, 95.5, 5967
97, 96.5, 4858
98, 97.5, 4568
99, 98.5, 4769
100, 99.5, 5280
101, 100.5, 5242
102, 101.5, 4932
103, 102.5, 4902
104, 103.5, 5196
105, 104.5, 5453
106, 105.5, 5292
107, 106.5, 4704
108, 107.5, 4445
109, 108.5, 4485
110, 109.5, 4493
111, 110.5, 4300
112, 111.5, 4430
113, 112.5, 4328
114, 113.5, 4352
115, 114.5, 4426
116, 115.5, 4361
117, 116.5, 4388
118, 117.5, 4479
119, 118.5, 4430
120, 119.5, 4613
121, 120.5, 4634
122, 121.5, 4952
123, 122.5, 5109
124, 123.5, 5618
125, 124.5, 7657
126, 125.5, 11829
127, 126.5, 11585
128, 127.5, 7299
129, 128.5, 5464
130, 129.5, 5694
131, 130.5, 6214
132, 131.5, 8889
133, 132.5, 18281
134, 133.5, 28074
135, 134.5, 21040
136, 135.5, 10984
137, 136.5, 6721
138, 137.5, 4106
139, 138.5, 3214
140, 139.5, 2891
141, 140.5, 2919
142, 141.5, 2861
143, 142.5, 2860
144, 143.5, 2861
145, 144.5, 2796
146, 145.5, 2859
147, 146.5, 2948
148, 147.5, 2884
149, 148.5, 2903
150, 149.5, 3086
151, 150.5, 3135
152, 151.5, 3253
153, 152.5, 3254
154, 153.5, 3393
155, 154.5, 3779
156, 155.5, 4633
157, 156.5, 6029
158, 157.5, 8489
159, 158.5, 11442
160, 159.5, 8626
161, 160.5, 4332
162, 161.5, 2910
163, 162.5, 2822
164, 163.5, 2853
165, 164.5, 3092
166, 165.5, 4114
167, 166.5, 6930
168, 167.5, 8064
169, 168.5, 5078
170, 169.5, 3555
171, 170.5, 4655
172, 171.5, 5513
173, 172.5, 5090
174, 173.5, 4415
175, 174.5, 3366
176, 175.5, 2595
177, 176.5, 2307
178, 177.5, 2037
179, 178.5, 1911
180, 179.5, 1929
181, 180.5, 2111
182, 181.5, 2246
183, 182.5, 2367
184, 183.5, 2077
185, 184.5, 1936
186, 185.5, 1968
187, 186.5, 2041
188, 187.5, 2343
189, 188.5, 2460
190, 189.5, 2226
191, 190.5, 1976
192, 191.5, 1937
193, 192.5, 2065
194, 193.5, 2087
195, 194.5, 1977
196, 195.5, 1978
197, 196.5, 1964
198, 197.5, 1957
199, 198.5, 1867
200, 199.5, 1810
201, 200.5, 1789
202, 201.5, 1812
203, 202.5, 1686
204, 203.5, 1681
205, 204.5, 1688
206, 205.5, 1695
207, 206.5, 1748
208, 207.5, 1726
209, 208.5, 1680
210, 209.5, 1637
211, 210.5, 1864
212, 211.5, 2076
213, 212.5, 2246
214, 213.5, 1806
215, 214.5, 1681
216, 215.5, 1574
217, 216.5, 1609
218, 217.5, 1552
219, 218.5, 1465
220, 219.5, 1594
221, 220.5, 1522
222, 221.5, 1543
223, 222.5, 1541
224, 223.5, 1541
225, 224.5, 1534
226, 225.5, 1555
227, 226.5, 1617
228, 227.5, 1545
229, 228.5, 1397
230, 229.5, 1497
231, 230.5, 1412
232, 231.5, 1473
233, 232.5, 1452
234, 233.5, 1443
235, 234.5, 1476
236, 235.5, 1401
237, 236.5, 1471
238, 237.5, 1467
239, 238.5, 1414
240, 239.5, 1528
241, 240.5, 1497
242, 241.5, 1575
243, 242.5, 1663
244, 243.5, 1835
245, 244.5, 1883
246, 245.5, 1595
247, 246.5, 1529
248, 247.5, 1392
249, 248.5, 1458
250, 249.5, 1514
251, 250.5, 1685
252, 251.5, 1802
253, 252.5, 1765
254, 253.5, 1525
255, 254.5, 1585
256, 255.5, 1595
257, 256.5, 1659
258, 257.5, 1711
259, 258.5, 1805
