# PHA DATA for PSI muX-2021-Dec created by I-Huan Chiu
# Date: 2021-12-13 09:43:05
# Root file: ./data/2021Dec/hist.root
# Time cut range (ns): -504.0 - 504.0
# PHA data format: binID, energy(keV) at the bin center, content
1, 0.5, 2998
2, 1.5, 2738
3, 2.5, 2637
4, 3.5, 2784
5, 4.5, 2913
6, 5.5, 2887
7, 6.5, 3093
8, 7.5, 3258
9, 8.5, 3352
10, 9.5, 3721
11, 10.5, 4095
12, 11.5, 4581
13, 12.5, 5135
14, 13.5, 5786
15, 14.5, 6055
16, 15.5, 6848
17, 16.5, 7423
18, 17.5, 8069
19, 18.5, 8838
20, 19.5, 9688
21, 20.5, 10403
22, 21.5, 11742
23, 22.5, 17320
24, 23.5, 21448
25, 24.5, 15667
26, 25.5, 13838
27, 26.5, 11976
28, 27.5, 12078
29, 28.5, 12064
30, 29.5, 12730
31, 30.5, 12952
32, 31.5, 13591
33, 32.5, 16183
34, 33.5, 25496
35, 34.5, 18738
36, 35.5, 15427
37, 36.5, 17822
38, 37.5, 24028
39, 38.5, 19515
40, 39.5, 20494
41, 40.5, 20896
42, 41.5, 25341
43, 42.5, 60675
44, 43.5, 50833
45, 44.5, 17895
46, 45.5, 15328
47, 46.5, 16482
48, 47.5, 14963
49, 48.5, 15126
50, 49.5, 15803
51, 50.5, 16625
52, 51.5, 18511
53, 52.5, 22090
54, 53.5, 21998
55, 54.5, 27452
56, 55.5, 24204
57, 56.5, 22261
58, 57.5, 22030
59, 58.5, 21263
60, 59.5, 22482
61, 60.5, 23595
62, 61.5, 23794
63, 62.5, 26000
64, 63.5, 28086
65, 64.5, 34515
66, 65.5, 74514
67, 66.5, 96777
68, 67.5, 32568
69, 68.5, 24070
70, 69.5, 24575
71, 70.5, 24812
72, 71.5, 25224
73, 72.5, 25665
74, 73.5, 26374
75, 74.5, 30838
76, 75.5, 34866
77, 76.5, 26330
78, 77.5, 26286
79, 78.5, 26624
80, 79.5, 31349
81, 80.5, 35086
82, 81.5, 27862
83, 82.5, 28854
84, 83.5, 38363
85, 84.5, 37283
86, 85.5, 30500
87, 86.5, 32141
88, 87.5, 35093
89, 88.5, 45340
90, 89.5, 54091
91, 90.5, 42468
92, 91.5, 59949
93, 92.5, 176264
94, 93.5, 126513
95, 94.5, 39706
96, 95.5, 29577
97, 96.5, 24645
98, 97.5, 23111
99, 98.5, 24299
100, 99.5, 29526
101, 100.5, 27632
102, 101.5, 24348
103, 102.5, 26697
104, 103.5, 26375
105, 104.5, 30267
106, 105.5, 28029
107, 106.5, 23852
108, 107.5, 23277
109, 108.5, 23685
110, 109.5, 23534
111, 110.5, 22997
112, 111.5, 23126
113, 112.5, 23058
114, 113.5, 23180
115, 114.5, 23350
116, 115.5, 23336
117, 116.5, 23417
118, 117.5, 23750
119, 118.5, 24036
120, 119.5, 24448
121, 120.5, 24782
122, 121.5, 25782
123, 122.5, 26988
124, 123.5, 29363
125, 124.5, 35994
126, 125.5, 79456
127, 126.5, 65798
128, 127.5, 30079
129, 128.5, 28050
130, 129.5, 30330
131, 130.5, 33363
132, 131.5, 42003
133, 132.5, 92542
134, 133.5, 252979
135, 134.5, 86668
136, 135.5, 62403
137, 136.5, 34291
138, 137.5, 19382
139, 138.5, 16639
140, 139.5, 16158
141, 140.5, 15899
142, 141.5, 15960
143, 142.5, 15868
144, 143.5, 15869
145, 144.5, 15836
146, 145.5, 15791
147, 146.5, 16249
148, 147.5, 16289
149, 148.5, 16589
150, 149.5, 16942
151, 150.5, 17177
152, 151.5, 17802
153, 152.5, 18721
154, 153.5, 18963
155, 154.5, 20201
156, 155.5, 26382
157, 156.5, 36537
158, 157.5, 45054
159, 158.5, 98418
160, 159.5, 42436
161, 160.5, 19373
162, 161.5, 15668
163, 162.5, 15353
164, 163.5, 15922
165, 164.5, 17190
166, 165.5, 20914
167, 166.5, 48734
168, 167.5, 59861
169, 168.5, 20443
170, 169.5, 16994
171, 170.5, 30232
172, 171.5, 39287
173, 172.5, 27922
174, 173.5, 29447
175, 174.5, 18710
176, 175.5, 14291
177, 176.5, 12840
178, 177.5, 11662
179, 178.5, 11258
180, 179.5, 11365
181, 180.5, 11848
182, 181.5, 14179
183, 182.5, 14289
184, 183.5, 11816
185, 184.5, 10986
186, 185.5, 11251
187, 186.5, 11934
188, 187.5, 14727
189, 188.5, 16993
190, 189.5, 13073
191, 190.5, 11111
192, 191.5, 11287
193, 192.5, 13174
194, 193.5, 11863
195, 194.5, 11095
196, 195.5, 11840
197, 196.5, 11475
198, 197.5, 11321
199, 198.5, 11547
200, 199.5, 11010
201, 200.5, 10725
202, 201.5, 10830
203, 202.5, 10211
204, 203.5, 10166
205, 204.5, 10182
206, 205.5, 10074
207, 206.5, 9930
208, 207.5, 9790
209, 208.5, 9576
210, 209.5, 9573
211, 210.5, 10185
212, 211.5, 13851
213, 212.5, 12879
214, 213.5, 9726
215, 214.5, 9468
216, 215.5, 9480
217, 216.5, 9003
218, 217.5, 9114
219, 218.5, 9055
220, 219.5, 9158
221, 220.5, 8881
222, 221.5, 9061
223, 222.5, 8942
224, 223.5, 8813
225, 224.5, 8826
226, 225.5, 9039
227, 226.5, 9573
228, 227.5, 9039
229, 228.5, 8614
230, 229.5, 8752
231, 230.5, 8700
232, 231.5, 8711
233, 232.5, 8472
234, 233.5, 8584
235, 234.5, 8645
236, 235.5, 8435
237, 236.5, 8644
238, 237.5, 8584
239, 238.5, 8557
240, 239.5, 8689
241, 240.5, 8752
242, 241.5, 9067
243, 242.5, 10250
244, 243.5, 11532
245, 244.5, 12036
246, 245.5, 9330
247, 246.5, 8701
248, 247.5, 8753
249, 248.5, 8793
250, 249.5, 8957
251, 250.5, 9865
252, 251.5, 11660
253, 252.5, 9727
254, 253.5, 8984
255, 254.5, 9212
256, 255.5, 9272
257, 256.5, 9803
258, 257.5, 10154
259, 258.5, 10803
260, 259.5, 11525
261, 260.5, 12141
262, 261.5, 13585
263, 262.5, 15724
264, 263.5, 20427
265, 264.5, 43543
266, 265.5, 127772
267, 266.5, 72760
268, 267.5, 19209
269, 268.5, 31309
270, 269.5, 70554
271, 270.5, 26988
272, 271.5, 10913
273, 272.5, 6842
274, 273.5, 5718
275, 274.5, 5993
276, 275.5, 6375
277, 276.5, 5822
278, 277.5, 5429
279, 278.5, 5403
280, 279.5, 5208
281, 280.5, 5152
282, 281.5, 5196
283, 282.5, 5149
284, 283.5, 5118
285, 284.5, 5168
286, 285.5, 5023
287, 286.5, 4968
288, 287.5, 5020
289, 288.5, 4889
290, 289.5, 4964
291, 290.5, 4779
292, 291.5, 4873
293, 292.5, 4828
294, 293.5, 4778
295, 294.5, 4738
296, 295.5, 4838
297, 296.5, 4764
298, 297.5, 4715
299, 298.5, 4609
300, 299.5, 4655
301, 300.5, 4723
302, 301.5, 4684
303, 302.5, 4687
304, 303.5, 4606
305, 304.5, 4727
306, 305.5, 4609
307, 306.5, 4772
308, 307.5, 5036
309, 308.5, 5059
310, 309.5, 4565
311, 310.5, 4600
312, 311.5, 4689
313, 312.5, 4668
314, 313.5, 5580
315, 314.5, 7006
316, 315.5, 5255
317, 316.5, 4472
318, 317.5, 4372
319, 318.5, 4374
320, 319.5, 4658
321, 320.5, 4832
322, 321.5, 4377
323, 322.5, 4520
324, 323.5, 4503
325, 324.5, 4450
326, 325.5, 4307
327, 326.5, 4367
328, 327.5, 4330
329, 328.5, 4535
330, 329.5, 4557
331, 330.5, 4503
332, 331.5, 4579
333, 332.5, 4637
334, 333.5, 4774
335, 334.5, 4962
336, 335.5, 5379
337, 336.5, 6076
338, 337.5, 6120
339, 338.5, 5341
340, 339.5, 5421
341, 340.5, 5778
342, 341.5, 5917
343, 342.5, 6538
344, 343.5, 7293
345, 344.5, 9366
346, 345.5, 19074
347, 346.5, 56358
348, 347.5, 37851
349, 348.5, 7605
350, 349.5, 4309
351, 350.5, 4204
352, 351.5, 4349
353, 352.5, 4606
354, 353.5, 4688
355, 354.5, 4884
356, 355.5, 4859
357, 356.5, 6059
358, 357.5, 13096
359, 358.5, 18957
360, 359.5, 7108
361, 360.5, 5421
362, 361.5, 8495
363, 362.5, 11117
364, 363.5, 4874
365, 364.5, 3613
366, 365.5, 3472
367, 366.5, 3321
368, 367.5, 3302
369, 368.5, 3292
370, 369.5, 3336
371, 370.5, 3353
