# PHA DATA for PSI muX-2021-Dec created by I-Huan Chiu
# Date: 2021-12-13 09:43:11
# Root file: ./data/2021Dec/sum_hist.root
# Time cut range (ns): -504.0 - 504.0
# PHA data format: binID, energy(keV) at the bin center, content
1, 0.5, 211
2, 1.5, 224
3, 2.5, 281
4, 3.5, 249
5, 4.5, 289
6, 5.5, 341
7, 6.5, 340
8, 7.5, 370
9, 8.5, 453
10, 9.5, 570
11, 10.5, 689
12, 11.5, 880
13, 12.5, 991
14, 13.5, 1093
15, 14.5, 1062
16, 15.5, 1119
17, 16.5, 1140
18, 17.5, 1074
19, 18.5, 1266
20, 19.5, 1210
21, 20.5, 1118
22, 21.5, 1178
23, 22.5, 1128
24, 23.5, 1166
25, 24.5, 1216
26, 25.5, 1098
27, 26.5, 1111
28, 27.5, 1117
29, 28.5, 1075
30, 29.5, 1108
31, 30.5, 1144
32, 31.5, 1118
33, 32.5, 1118
34, 33.5, 1217
35, 34.5, 1634
36, 35.5, 1492
37, 36.5, 1172
38, 37.5, 1178
39, 38.5, 1180
40, 39.5, 1166
41, 40.5, 1225
42, 41.5, 1388
43, 42.5, 2097
44, 43.5, 1731
45, 44.5, 1177
46, 45.5, 1208
47, 46.5, 1280
48, 47.5, 1234
49, 48.5, 1168
50, 49.5, 1306
51, 50.5, 1687
52, 51.5, 1905
53, 52.5, 1518
54, 53.5, 1451
55, 54.5, 1641
56, 55.5, 1539
57, 56.5, 1502
58, 57.5, 1521
59, 58.5, 1517
60, 59.5, 1817
61, 60.5, 1897
62, 61.5, 1588
63, 62.5, 1636
64, 63.5, 1728
65, 64.5, 1980
66, 65.5, 2821
67, 66.5, 3129
68, 67.5, 1990
69, 68.5, 1962
70, 69.5, 1989
71, 70.5, 2096
72, 71.5, 2231
73, 72.5, 2420
74, 73.5, 2447
75, 74.5, 2868
76, 75.5, 3150
77, 76.5, 2889
78, 77.5, 2944
79, 78.5, 2732
80, 79.5, 2936
81, 80.5, 3124
82, 81.5, 2594
83, 82.5, 2725
84, 83.5, 3239
85, 84.5, 3211
86, 85.5, 2928
87, 86.5, 2979
88, 87.5, 3136
89, 88.5, 3488
90, 89.5, 4219
91, 90.5, 3766
92, 91.5, 4748
93, 92.5, 11485
94, 93.5, 9958
95, 94.5, 3912
96, 95.5, 3656
97, 96.5, 3627
98, 97.5, 4056
99, 98.5, 4440
100, 99.5, 10083
101, 100.5, 20024
102, 101.5, 7319
103, 102.5, 3196
104, 103.5, 2718
105, 104.5, 2760
106, 105.5, 2612
107, 106.5, 2377
108, 107.5, 2397
109, 108.5, 2415
110, 109.5, 2501
111, 110.5, 2370
112, 111.5, 2405
113, 112.5, 2467
114, 113.5, 2542
115, 114.5, 2618
116, 115.5, 2982
117, 116.5, 2817
118, 117.5, 2637
119, 118.5, 2630
120, 119.5, 2721
121, 120.5, 2763
122, 121.5, 2900
123, 122.5, 2990
124, 123.5, 3377
125, 124.5, 3640
126, 125.5, 6385
127, 126.5, 7255
128, 127.5, 3253
129, 128.5, 3058
130, 129.5, 3130
131, 130.5, 3380
132, 131.5, 3667
133, 132.5, 4335
134, 133.5, 7353
135, 134.5, 7026
136, 135.5, 10860
137, 136.5, 6496
138, 137.5, 3032
139, 138.5, 2556
140, 139.5, 2695
141, 140.5, 2679
142, 141.5, 2681
143, 142.5, 2677
144, 143.5, 2602
145, 144.5, 2678
146, 145.5, 2636
147, 146.5, 2712
148, 147.5, 2853
149, 148.5, 3145
150, 149.5, 3057
151, 150.5, 3415
152, 151.5, 5284
153, 152.5, 3954
154, 153.5, 2988
155, 154.5, 2953
156, 155.5, 3369
157, 156.5, 4776
158, 157.5, 4337
159, 158.5, 5649
160, 159.5, 5772
161, 160.5, 4311
162, 161.5, 3127
163, 162.5, 2766
164, 163.5, 2645
165, 164.5, 2693
166, 165.5, 3270
167, 166.5, 3443
168, 167.5, 3406
169, 168.5, 3022
170, 169.5, 3005
171, 170.5, 2965
172, 171.5, 3391
173, 172.5, 3880
174, 173.5, 4160
175, 174.5, 3202
176, 175.5, 2795
177, 176.5, 2745
178, 177.5, 2636
179, 178.5, 2653
180, 179.5, 2679
181, 180.5, 2683
182, 181.5, 2948
183, 182.5, 3165
184, 183.5, 2814
185, 184.5, 2536
186, 185.5, 2657
187, 186.5, 2749
188, 187.5, 3010
189, 188.5, 3557
190, 189.5, 3086
191, 190.5, 2767
192, 191.5, 2530
193, 192.5, 2921
194, 193.5, 2751
195, 194.5, 2607
196, 195.5, 2705
197, 196.5, 2766
198, 197.5, 2606
199, 198.5, 2680
200, 199.5, 2630
201, 200.5, 2551
202, 201.5, 2475
203, 202.5, 2503
204, 203.5, 2471
205, 204.5, 2432
206, 205.5, 2498
207, 206.5, 2498
208, 207.5, 2466
209, 208.5, 2368
210, 209.5, 2285
211, 210.5, 2383
212, 211.5, 2736
213, 212.5, 2953
214, 213.5, 2324
215, 214.5, 2147
216, 215.5, 2312
217, 216.5, 2253
