# PHA DATA for PSI muX-2021-Dec created by I-Huan Chiu
# Date: 2021-12-13 09:43:11
# Root file: ./data/2021Dec/sum_hist.root
# Time cut range (ns): -504.0 - 504.0
# PHA data format: binID, energy(keV) at the bin center, content
1, 0.5, 182
2, 1.5, 228
3, 2.5, 206
4, 3.5, 225
5, 4.5, 225
6, 5.5, 229
7, 6.5, 285
8, 7.5, 286
9, 8.5, 277
10, 9.5, 302
11, 10.5, 272
12, 11.5, 277
13, 12.5, 279
14, 13.5, 327
15, 14.5, 354
16, 15.5, 422
17, 16.5, 454
18, 17.5, 529
19, 18.5, 625
20, 19.5, 865
21, 20.5, 953
22, 21.5, 1093
23, 22.5, 1162
24, 23.5, 1325
25, 24.5, 1289
26, 25.5, 1274
27, 26.5, 1205
28, 27.5, 1151
29, 28.5, 1211
30, 29.5, 1256
31, 30.5, 1303
32, 31.5, 1324
33, 32.5, 1276
34, 33.5, 1447
35, 34.5, 2025
36, 35.5, 1873
37, 36.5, 1350
38, 37.5, 1439
39, 38.5, 1309
40, 39.5, 1445
41, 40.5, 1494
42, 41.5, 1679
43, 42.5, 2930
44, 43.5, 2164
45, 44.5, 1422
46, 45.5, 1417
47, 46.5, 1602
48, 47.5, 1487
49, 48.5, 1613
50, 49.5, 1642
51, 50.5, 2077
52, 51.5, 2661
53, 52.5, 1908
54, 53.5, 1832
55, 54.5, 2123
56, 55.5, 1886
57, 56.5, 1848
58, 57.5, 1981
59, 58.5, 1904
60, 59.5, 2306
61, 60.5, 2456
62, 61.5, 2043
63, 62.5, 2253
64, 63.5, 2410
65, 64.5, 2633
66, 65.5, 3800
67, 66.5, 4448
68, 67.5, 2410
69, 68.5, 2558
70, 69.5, 2639
71, 70.5, 2735
72, 71.5, 2883
73, 72.5, 3074
74, 73.5, 3116
75, 74.5, 3640
76, 75.5, 4243
77, 76.5, 3602
78, 77.5, 3699
79, 78.5, 3583
80, 79.5, 3639
81, 80.5, 3890
82, 81.5, 3282
83, 82.5, 3593
84, 83.5, 4427
85, 84.5, 4029
86, 85.5, 3624
87, 86.5, 3914
88, 87.5, 4063
89, 88.5, 4635
90, 89.5, 5270
91, 90.5, 4783
92, 91.5, 6110
93, 92.5, 17401
94, 93.5, 11125
95, 94.5, 4650
96, 95.5, 4594
97, 96.5, 4581
98, 97.5, 5021
99, 98.5, 5509
100, 99.5, 14065
101, 100.5, 26186
102, 101.5, 6656
103, 102.5, 3711
104, 103.5, 2975
105, 104.5, 3313
106, 105.5, 2938
107, 106.5, 2710
108, 107.5, 2681
109, 108.5, 2651
110, 109.5, 2693
111, 110.5, 2739
112, 111.5, 2820
113, 112.5, 2771
114, 113.5, 2804
115, 114.5, 2835
116, 115.5, 3271
117, 116.5, 2778
118, 117.5, 2832
119, 118.5, 2960
120, 119.5, 2871
121, 120.5, 3006
122, 121.5, 3013
123, 122.5, 3135
124, 123.5, 3569
125, 124.5, 3850
126, 125.5, 8173
127, 126.5, 6378
128, 127.5, 2918
129, 128.5, 2969
130, 129.5, 3152
131, 130.5, 3155
132, 131.5, 3772
133, 132.5, 4792
134, 133.5, 8066
135, 134.5, 6939
136, 135.5, 11458
137, 136.5, 4412
138, 137.5, 2634
139, 138.5, 2391
140, 139.5, 2375
141, 140.5, 2438
142, 141.5, 2488
143, 142.5, 2484
