# PHA DATA for PSI muX-2021-Dec created by I-Huan Chiu
# Date: 2021-12-13 09:43:11
# Root file: ./data/2021Dec/sum_hist.root
# Time cut range (ns): -504.0 - 504.0
# PHA data format: binID, energy(keV) at the bin center, content
1, 0.5, 851
2, 1.5, 1153
3, 2.5, 1184
4, 3.5, 1201
5, 4.5, 1263
6, 5.5, 1312
7, 6.5, 1322
8, 7.5, 1328
9, 8.5, 1365
10, 9.5, 1454
11, 10.5, 1514
12, 11.5, 1535
13, 12.5, 1720
14, 13.5, 1773
15, 14.5, 2000
16, 15.5, 2056
17, 16.5, 2315
18, 17.5, 2418
19, 18.5, 2768
20, 19.5, 3192
21, 20.5, 3218
22, 21.5, 3296
23, 22.5, 3480
24, 23.5, 3836
25, 24.5, 3969
26, 25.5, 3924
27, 26.5, 3806
28, 27.5, 3967
29, 28.5, 3991
30, 29.5, 4110
31, 30.5, 4195
32, 31.5, 4369
33, 32.5, 4451
34, 33.5, 4565
35, 34.5, 5263
36, 35.5, 5907
37, 36.5, 4898
38, 37.5, 4642
39, 38.5, 4642
40, 39.5, 4831
41, 40.5, 4921
42, 41.5, 5189
43, 42.5, 6719
44, 43.5, 7423
45, 44.5, 5333
46, 45.5, 4981
47, 46.5, 5269
48, 47.5, 5181
49, 48.5, 5300
50, 49.5, 5763
51, 50.5, 6346
52, 51.5, 7476
53, 52.5, 6248
54, 53.5, 6051
55, 54.5, 6831
56, 55.5, 6968
57, 56.5, 6557
58, 57.5, 6947
59, 58.5, 6987
60, 59.5, 7473
61, 60.5, 8012
62, 61.5, 7402
63, 62.5, 7697
64, 63.5, 8137
65, 64.5, 8589
66, 65.5, 10672
67, 66.5, 12695
68, 67.5, 9193
69, 68.5, 8520
70, 69.5, 8912
71, 70.5, 9251
72, 71.5, 9600
73, 72.5, 10017
74, 73.5, 10470
75, 74.5, 11283
76, 75.5, 12244
77, 76.5, 11194
78, 77.5, 11396
79, 78.5, 11606
80, 79.5, 11028
81, 80.5, 11813
82, 81.5, 11052
83, 82.5, 11039
84, 83.5, 12426
85, 84.5, 12921
86, 85.5, 11760
87, 86.5, 11897
88, 87.5, 12419
89, 88.5, 13233
90, 89.5, 14621
91, 90.5, 14420
92, 91.5, 17120
93, 92.5, 29620
94, 93.5, 27473
95, 94.5, 13821
96, 95.5, 12449
97, 96.5, 12996
98, 97.5, 14038
99, 98.5, 15486
100, 99.5, 27347
101, 100.5, 42833
102, 101.5, 20607
103, 102.5, 9828
104, 103.5, 8633
105, 104.5, 8620
106, 105.5, 8245
107, 106.5, 7575
108, 107.5, 7577
109, 108.5, 7687
110, 109.5, 7566
111, 110.5, 7498
112, 111.5, 7539
113, 112.5, 7572
114, 113.5, 7704
115, 114.5, 7714
116, 115.5, 8084
117, 116.5, 7855
118, 117.5, 7759
119, 118.5, 7726
120, 119.5, 8121
121, 120.5, 8214
122, 121.5, 8357
123, 122.5, 8644
124, 123.5, 9425
125, 124.5, 10793
126, 125.5, 16969
127, 126.5, 16080
128, 127.5, 8293
129, 128.5, 7636
130, 129.5, 8181
131, 130.5, 8246
132, 131.5, 8951
133, 132.5, 10635
134, 133.5, 13527
135, 134.5, 14303
136, 135.5, 17707
137, 136.5, 10645
138, 137.5, 6771
139, 138.5, 6097
140, 139.5, 6025
141, 140.5, 6106
142, 141.5, 6084
143, 142.5, 6238
144, 143.5, 6100
145, 144.5, 5945
146, 145.5, 6005
147, 146.5, 6164
148, 147.5, 6278
149, 148.5, 6740
150, 149.5, 6685
151, 150.5, 7506
152, 151.5, 9135
153, 152.5, 7500
154, 153.5, 6303
155, 154.5, 6437
156, 155.5, 7763
157, 156.5, 8887
158, 157.5, 8086
159, 158.5, 9367
160, 159.5, 8857
161, 160.5, 7349
162, 161.5, 5958
163, 162.5, 5472
164, 163.5, 5401
165, 164.5, 5674
166, 165.5, 6001
167, 166.5, 6172
168, 167.5, 6082
169, 168.5, 5782
170, 169.5, 5639
171, 170.5, 5692
172, 171.5, 6155
173, 172.5, 6625
174, 173.5, 6467
175, 174.5, 5408
176, 175.5, 5189
177, 176.5, 5039
178, 177.5, 4993
179, 178.5, 4995
180, 179.5, 5054
181, 180.5, 4976
182, 181.5, 5426
183, 182.5, 5364
184, 183.5, 4758
185, 184.5, 4726
186, 185.5, 4771
187, 186.5, 4847
188, 187.5, 5421
189, 188.5, 5809
190, 189.5, 4881
191, 190.5, 4696
192, 191.5, 4774
193, 192.5, 5062
194, 193.5, 4758
195, 194.5, 4650
196, 195.5, 4721
197, 196.5, 4684
198, 197.5, 4743
199, 198.5, 4679
200, 199.5, 4630
201, 200.5, 4433
202, 201.5, 4423
203, 202.5, 4358
204, 203.5, 4319
205, 204.5, 4327
206, 205.5, 4226
207, 206.5, 4240
208, 207.5, 4243
209, 208.5, 4266
210, 209.5, 4312
211, 210.5, 4493
212, 211.5, 4998
213, 212.5, 4659
214, 213.5, 3973
215, 214.5, 4064
216, 215.5, 4127
217, 216.5, 4014
218, 217.5, 3911
219, 218.5, 4007
220, 219.5, 3899
221, 220.5, 3975
222, 221.5, 3877
223, 222.5, 3848
224, 223.5, 3852
225, 224.5, 3899
226, 225.5, 3875
227, 226.5, 3937
228, 227.5, 3701
229, 228.5, 3752
230, 229.5, 3819
231, 230.5, 3786
232, 231.5, 3742
233, 232.5, 3629
234, 233.5, 3830
235, 234.5, 3694
236, 235.5, 3838
237, 236.5, 3884
238, 237.5, 3787
239, 238.5, 3771
240, 239.5, 3927
241, 240.5, 3830
242, 241.5, 3865
243, 242.5, 4124
244, 243.5, 4286
245, 244.5, 4251
246, 245.5, 3866
247, 246.5, 3770
248, 247.5, 3929
249, 248.5, 3762
250, 249.5, 3847
251, 250.5, 4108
252, 251.5, 4227
253, 252.5, 3990
254, 253.5, 3804
255, 254.5, 3982
256, 255.5, 3912
257, 256.5, 4069
258, 257.5, 4056
259, 258.5, 4346
260, 259.5, 4580
261, 260.5, 4742
262, 261.5, 5136
263, 262.5, 5605
264, 263.5, 6572
265, 264.5, 10666
266, 265.5, 19562
267, 266.5, 12895
268, 267.5, 5360
269, 268.5, 7565
270, 269.5, 11063
271, 270.5, 6274
272, 271.5, 3610
273, 272.5, 2913
274, 273.5, 2611
275, 274.5, 2787
276, 275.5, 2796
277, 276.5, 2797
278, 277.5, 2558
279, 278.5, 2550
280, 279.5, 2556
281, 280.5, 2477
282, 281.5, 2549
283, 282.5, 2556
284, 283.5, 2581
285, 284.5, 2577
286, 285.5, 2558
287, 286.5, 2452
288, 287.5, 2479
289, 288.5, 2588
290, 289.5, 2396
291, 290.5, 2475
292, 291.5, 2441
293, 292.5, 2425
294, 293.5, 2465
295, 294.5, 2452
296, 295.5, 2591
297, 296.5, 2630
298, 297.5, 2526
299, 298.5, 2410
300, 299.5, 2478
301, 300.5, 2361
302, 301.5, 2455
303, 302.5, 2370
304, 303.5, 2489
305, 304.5, 2520
306, 305.5, 2381
307, 306.5, 2398
308, 307.5, 2374
309, 308.5, 2412
310, 309.5, 2423
311, 310.5, 2418
312, 311.5, 2379
313, 312.5, 2402
314, 313.5, 2713
315, 314.5, 2879
316, 315.5, 2571
317, 316.5, 2399
