# PHA DATA for PSI muX-2021-Dec created by I-Huan Chiu
# Date: 2021-12-13 09:43:11
# Root file: ./data/2021Dec/sum_hist.root
# Time cut range (ns): -504.0 - 504.0
# PHA data format: binID, energy(keV) at the bin center, content
1, 0.5, 1336
2, 1.5, 1143
3, 2.5, 1111
4, 3.5, 1151
5, 4.5, 1136
6, 5.5, 1174
7, 6.5, 1240
8, 7.5, 1389
9, 8.5, 1402
10, 9.5, 1424
11, 10.5, 1637
12, 11.5, 1771
13, 12.5, 1898
14, 13.5, 2227
15, 14.5, 2417
16, 15.5, 2703
17, 16.5, 2953
18, 17.5, 3275
19, 18.5, 3491
20, 19.5, 3818
21, 20.5, 3635
22, 21.5, 3957
23, 22.5, 4042
24, 23.5, 4249
25, 24.5, 4156
26, 25.5, 4212
27, 26.5, 4050
28, 27.5, 4047
29, 28.5, 3959
30, 29.5, 4106
31, 30.5, 4144
32, 31.5, 4408
33, 32.5, 4587
34, 33.5, 4952
35, 34.5, 5555
36, 35.5, 5737
37, 36.5, 4832
38, 37.5, 4645
39, 38.5, 4585
40, 39.5, 4779
41, 40.5, 5135
42, 41.5, 5733
43, 42.5, 6811
44, 43.5, 6451
45, 44.5, 5286
46, 45.5, 4920
47, 46.5, 4874
48, 47.5, 5020
49, 48.5, 5160
50, 49.5, 5641
51, 50.5, 6271
52, 51.5, 6756
53, 52.5, 6304
54, 53.5, 6108
55, 54.5, 6408
56, 55.5, 6381
57, 56.5, 6146
58, 57.5, 6305
59, 58.5, 6254
60, 59.5, 7075
61, 60.5, 7221
62, 61.5, 7104
63, 62.5, 7222
64, 63.5, 7579
65, 64.5, 8657
66, 65.5, 10195
67, 66.5, 10313
68, 67.5, 9078
69, 68.5, 8293
70, 69.5, 8547
71, 70.5, 8528
72, 71.5, 8877
73, 72.5, 9595
74, 73.5, 9942
75, 74.5, 10594
76, 75.5, 11020
77, 76.5, 10903
78, 77.5, 10791
79, 78.5, 10881
80, 79.5, 10618
81, 80.5, 10684
82, 81.5, 10518
83, 82.5, 10515
84, 83.5, 11188
85, 84.5, 11497
86, 85.5, 10915
87, 86.5, 10948
88, 87.5, 11461
89, 88.5, 12165
90, 89.5, 13109
91, 90.5, 14115
92, 91.5, 18036
93, 92.5, 24617
94, 93.5, 22912
95, 94.5, 15249
96, 95.5, 12257
97, 96.5, 12099
98, 97.5, 12954
99, 98.5, 16594
100, 99.5, 25797
101, 100.5, 30951
102, 101.5, 20919
103, 102.5, 11367
104, 103.5, 8457
105, 104.5, 7958
106, 105.5, 7415
107, 106.5, 6918
108, 107.5, 6607
109, 108.5, 6739
110, 109.5, 6684
111, 110.5, 6739
112, 111.5, 6717
113, 112.5, 6847
114, 113.5, 6657
115, 114.5, 6911
116, 115.5, 7158
117, 116.5, 6933
118, 117.5, 6929
119, 118.5, 6853
120, 119.5, 7073
121, 120.5, 7193
122, 121.5, 7464
123, 122.5, 7879
124, 123.5, 8649
125, 124.5, 10411
126, 125.5, 13526
127, 126.5, 13248
128, 127.5, 9050
129, 128.5, 7224
130, 129.5, 7194
131, 130.5, 7340
132, 131.5, 8134
133, 132.5, 9923
134, 133.5, 11581
135, 134.5, 13246
136, 135.5, 13991
137, 136.5, 10539
138, 137.5, 7116
139, 138.5, 5892
140, 139.5, 5445
141, 140.5, 5327
142, 141.5, 5468
143, 142.5, 5376
144, 143.5, 5495
145, 144.5, 5484
146, 145.5, 5371
147, 146.5, 5594
148, 147.5, 5612
149, 148.5, 5888
150, 149.5, 6155
151, 150.5, 6757
152, 151.5, 7426
153, 152.5, 6842
154, 153.5, 5967
155, 154.5, 6094
156, 155.5, 6856
157, 156.5, 7523
158, 157.5, 7630
159, 158.5, 8214
160, 159.5, 7930
161, 160.5, 6650
162, 161.5, 5423
163, 162.5, 4985
164, 163.5, 4885
165, 164.5, 5016
166, 165.5, 5228
167, 166.5, 5384
168, 167.5, 5339
169, 168.5, 5150
170, 169.5, 5081
171, 170.5, 5117
172, 171.5, 5299
173, 172.5, 5832
174, 173.5, 5720
175, 174.5, 5205
176, 175.5, 4600
177, 176.5, 4412
178, 177.5, 4353
179, 178.5, 4337
180, 179.5, 4304
181, 180.5, 4619
182, 181.5, 4690
183, 182.5, 4688
184, 183.5, 4397
185, 184.5, 4204
186, 185.5, 4381
187, 186.5, 4378
188, 187.5, 4857
189, 188.5, 4711
190, 189.5, 4577
191, 190.5, 4240
192, 191.5, 4226
193, 192.5, 4323
194, 193.5, 4156
195, 194.5, 4079
196, 195.5, 4156
197, 196.5, 4244
198, 197.5, 4079
199, 198.5, 4102
200, 199.5, 4051
201, 200.5, 3942
202, 201.5, 3842
203, 202.5, 3850
204, 203.5, 3666
205, 204.5, 3660
206, 205.5, 3735
207, 206.5, 3700
208, 207.5, 3754
209, 208.5, 3602
210, 209.5, 3727
211, 210.5, 3870
212, 211.5, 4156
213, 212.5, 4041
214, 213.5, 3812
215, 214.5, 3620
216, 215.5, 3498
217, 216.5, 3507
218, 217.5, 3403
219, 218.5, 3486
220, 219.5, 3338
221, 220.5, 3311
222, 221.5, 3312
223, 222.5, 3300
224, 223.5, 3348
225, 224.5, 3477
226, 225.5, 3475
227, 226.5, 3400
228, 227.5, 3383
229, 228.5, 3335
230, 229.5, 3318
231, 230.5, 3191
232, 231.5, 3201
233, 232.5, 3172
234, 233.5, 3178
235, 234.5, 3238
236, 235.5, 3156
237, 236.5, 3244
238, 237.5, 3312
239, 238.5, 3236
240, 239.5, 3331
241, 240.5, 3296
242, 241.5, 3351
243, 242.5, 3481
244, 243.5, 3683
245, 244.5, 3587
246, 245.5, 3365
247, 246.5, 3217
248, 247.5, 3185
249, 248.5, 3253
250, 249.5, 3244
251, 250.5, 3477
252, 251.5, 3525
253, 252.5, 3461
254, 253.5, 3301
255, 254.5, 3226
256, 255.5, 3392
257, 256.5, 3379
258, 257.5, 3457
