# PHA DATA for PSI muX-2021-Dec created by I-Huan Chiu
# Date: 2021-12-13 09:43:11
# Root file: ./data/2021Dec/sum_hist.root
# Time cut range (ns): -504.0 - 504.0
# PHA data format: binID, energy(keV) at the bin center, content
1, 0.5, 5215
2, 1.5, 4973
3, 2.5, 5158
4, 3.5, 5135
5, 4.5, 5356
6, 5.5, 5639
7, 6.5, 5932
8, 7.5, 6254
9, 8.5, 6652
10, 9.5, 7120
11, 10.5, 7878
12, 11.5, 8637
13, 12.5, 9427
14, 13.5, 10468
15, 14.5, 11463
16, 15.5, 12343
17, 16.5, 13313
18, 17.5, 14215
19, 18.5, 16135
20, 19.5, 17381
21, 20.5, 17147
22, 21.5, 18416
23, 22.5, 19303
24, 23.5, 20490
25, 24.5, 20355
26, 25.5, 20159
27, 26.5, 19482
28, 27.5, 19570
29, 28.5, 19615
30, 29.5, 19979
31, 30.5, 20103
32, 31.5, 21027
33, 32.5, 21485
34, 33.5, 23248
35, 34.5, 28346
36, 35.5, 28452
37, 36.5, 22675
38, 37.5, 23144
39, 38.5, 22364
40, 39.5, 23567
41, 40.5, 24437
42, 41.5, 26601
43, 42.5, 38311
44, 43.5, 33663
45, 44.5, 24482
46, 45.5, 24026
47, 46.5, 25010
48, 47.5, 24529
49, 48.5, 25320
50, 49.5, 27305
51, 50.5, 31574
52, 51.5, 36430
53, 52.5, 30265
54, 53.5, 29538
55, 54.5, 33190
56, 55.5, 31299
57, 56.5, 30560
58, 57.5, 31426
59, 58.5, 31886
60, 59.5, 36267
61, 60.5, 37049
62, 61.5, 34145
63, 62.5, 35863
64, 63.5, 37368
65, 64.5, 41225
66, 65.5, 54553
67, 66.5, 58455
68, 67.5, 41201
69, 68.5, 40440
70, 69.5, 41616
71, 70.5, 43025
72, 71.5, 44729
73, 72.5, 47695
74, 73.5, 48926
75, 74.5, 54291
76, 75.5, 58602
77, 76.5, 53313
78, 77.5, 54777
79, 78.5, 54185
80, 79.5, 53372
81, 80.5, 55826
82, 81.5, 50590
83, 82.5, 52127
84, 83.5, 60929
85, 84.5, 59422
86, 85.5, 54345
87, 86.5, 55846
88, 87.5, 57935
89, 88.5, 63531
90, 89.5, 69727
91, 90.5, 68153
92, 91.5, 84578
93, 92.5, 171378
94, 93.5, 127392
95, 94.5, 65584
96, 95.5, 61094
97, 96.5, 61417
98, 97.5, 66372
