# PHA DATA for PSI muX-2019-Nov created by Akira Sato
# Date: 2021-09-27 17:07:52
# Root file: ./data/his28188.root
# Time cut range (ns): -56.0 - 56.0
# PHA data format: binID, energy(keV) at the bin center, content
1, 0.5, 3
2, 1.5, 2
3, 2.5, 2
4, 3.5, 0
5, 4.5, 0
6, 5.5, 4
7, 6.5, 1
8, 7.5, 2
9, 8.5, 1
10, 9.5, 4
11, 10.5, 4
12, 11.5, 2
13, 12.5, 2
14, 13.5, 3
15, 14.5, 6
16, 15.5, 1
17, 16.5, 1
18, 17.5, 3
19, 18.5, 4
20, 19.5, 10
21, 20.5, 5
22, 21.5, 4
23, 22.5, 3
24, 23.5, 1
25, 24.5, 3
26, 25.5, 2
27, 26.5, 5
28, 27.5, 7
29, 28.5, 9
30, 29.5, 6
31, 30.5, 3
32, 31.5, 9
33, 32.5, 4
34, 33.5, 6
35, 34.5, 10
36, 35.5, 12
37, 36.5, 11
38, 37.5, 15
39, 38.5, 14
40, 39.5, 20
41, 40.5, 14
42, 41.5, 35
43, 42.5, 52
44, 43.5, 55
45, 44.5, 58
46, 45.5, 63
47, 46.5, 70
48, 47.5, 76
49, 48.5, 116
50, 49.5, 118
51, 50.5, 94
52, 51.5, 95
53, 52.5, 79
54, 53.5, 97
55, 54.5, 86
56, 55.5, 66
57, 56.5, 77
58, 57.5, 62
59, 58.5, 75
60, 59.5, 58
61, 60.5, 56
62, 61.5, 66
63, 62.5, 55
64, 63.5, 71
65, 64.5, 76
66, 65.5, 132
67, 66.5, 150
68, 67.5, 89
69, 68.5, 66
70, 69.5, 55
71, 70.5, 59
72, 71.5, 36
73, 72.5, 67
74, 73.5, 50
75, 74.5, 83
76, 75.5, 70
77, 76.5, 40
78, 77.5, 44
79, 78.5, 48
80, 79.5, 66
81, 80.5, 57
82, 81.5, 45
83, 82.5, 38
84, 83.5, 36
85, 84.5, 47
86, 85.5, 55
87, 86.5, 59
88, 87.5, 67
89, 88.5, 70
90, 89.5, 81
91, 90.5, 109
92, 91.5, 194
93, 92.5, 425
94, 93.5, 400
95, 94.5, 151
96, 95.5, 72
97, 96.5, 44
98, 97.5, 30
99, 98.5, 26
100, 99.5, 33
101, 100.5, 34
102, 101.5, 23
103, 102.5, 29
104, 103.5, 27
105, 104.5, 32
106, 105.5, 35
107, 106.5, 44
108, 107.5, 30
109, 108.5, 46
110, 109.5, 32
111, 110.5, 24
112, 111.5, 29
113, 112.5, 29
114, 113.5, 24
115, 114.5, 27
116, 115.5, 33
117, 116.5, 30
118, 117.5, 28
119, 118.5, 29
120, 119.5, 27
121, 120.5, 28
122, 121.5, 27
123, 122.5, 36
124, 123.5, 31
125, 124.5, 37
126, 125.5, 40
127, 126.5, 64
128, 127.5, 42
129, 128.5, 36
130, 129.5, 56
131, 130.5, 40
132, 131.5, 44
133, 132.5, 46
134, 133.5, 60
135, 134.5, 99
136, 135.5, 158
137, 136.5, 159
138, 137.5, 77
139, 138.5, 41
140, 139.5, 30
141, 140.5, 33
142, 141.5, 30
143, 142.5, 37
144, 143.5, 31
145, 144.5, 37
146, 145.5, 27
147, 146.5, 24
148, 147.5, 30
149, 148.5, 41
150, 149.5, 29
151, 150.5, 36
152, 151.5, 24
153, 152.5, 34
154, 153.5, 46
155, 154.5, 44
156, 155.5, 46
157, 156.5, 42
158, 157.5, 78
159, 158.5, 108
160, 159.5, 104
161, 160.5, 60
162, 161.5, 40
163, 162.5, 50
164, 163.5, 35
165, 164.5, 31
166, 165.5, 27
167, 166.5, 43
168, 167.5, 40
169, 168.5, 32
170, 169.5, 36
171, 170.5, 34
172, 171.5, 59
173, 172.5, 72
174, 173.5, 82
175, 174.5, 55
176, 175.5, 32
177, 176.5, 39
178, 177.5, 40
179, 178.5, 48
180, 179.5, 35
181, 180.5, 45
182, 181.5, 55
183, 182.5, 48
184, 183.5, 44
185, 184.5, 34
186, 185.5, 35
187, 186.5, 49
188, 187.5, 61
189, 188.5, 78
190, 189.5, 58
191, 190.5, 53
192, 191.5, 33
193, 192.5, 59
194, 193.5, 52
195, 194.5, 51
196, 195.5, 52
197, 196.5, 59
198, 197.5, 42
199, 198.5, 51
200, 199.5, 38
201, 200.5, 45
202, 201.5, 36
203, 202.5, 40
204, 203.5, 39
205, 204.5, 33
206, 205.5, 36
207, 206.5, 38
208, 207.5, 27
209, 208.5, 31
210, 209.5, 33
211, 210.5, 39
212, 211.5, 35
213, 212.5, 28
214, 213.5, 28
215, 214.5, 38
216, 215.5, 40
217, 216.5, 37
218, 217.5, 30
219, 218.5, 39
220, 219.5, 32
221, 220.5, 50
222, 221.5, 34
223, 222.5, 31
224, 223.5, 36
225, 224.5, 38
226, 225.5, 40
227, 226.5, 56
228, 227.5, 44
229, 228.5, 52
230, 229.5, 39
231, 230.5, 23
232, 231.5, 38
233, 232.5, 45
234, 233.5, 53
235, 234.5, 43
236, 235.5, 45
237, 236.5, 50
238, 237.5, 50
239, 238.5, 60
240, 239.5, 61
241, 240.5, 53
242, 241.5, 52
243, 242.5, 67
244, 243.5, 78
245, 244.5, 81
246, 245.5, 70
247, 246.5, 55
248, 247.5, 52
249, 248.5, 73
250, 249.5, 58
251, 250.5, 61
252, 251.5, 52
253, 252.5, 75
254, 253.5, 73
255, 254.5, 64
256, 255.5, 63
257, 256.5, 81
258, 257.5, 78
259, 258.5, 77
260, 259.5, 102
261, 260.5, 116
262, 261.5, 130
263, 262.5, 153
264, 263.5, 227
265, 264.5, 646
266, 265.5, 1122
267, 266.5, 933
268, 267.5, 438
269, 268.5, 449
270, 269.5, 595
271, 270.5, 383
272, 271.5, 123
273, 272.5, 56
274, 273.5, 46
275, 274.5, 48
276, 275.5, 47
277, 276.5, 54
278, 277.5, 32
279, 278.5, 23
280, 279.5, 26
281, 280.5, 36
282, 281.5, 26
283, 282.5, 31
284, 283.5, 28
285, 284.5, 19
286, 285.5, 25
287, 286.5, 26
288, 287.5, 39
289, 288.5, 37
290, 289.5, 24
291, 290.5, 20
292, 291.5, 21
293, 292.5, 30
294, 293.5, 22
295, 294.5, 33
296, 295.5, 39
297, 296.5, 29
298, 297.5, 28
299, 298.5, 29
300, 299.5, 29
301, 300.5, 22
302, 301.5, 34
303, 302.5, 25
304, 303.5, 18
305, 304.5, 22
306, 305.5, 23
307, 306.5, 33
308, 307.5, 24
309, 308.5, 30
310, 309.5, 31
311, 310.5, 29
312, 311.5, 32
313, 312.5, 23
314, 313.5, 29
315, 314.5, 28
316, 315.5, 27
317, 316.5, 35
318, 317.5, 33
319, 318.5, 32
320, 319.5, 36
321, 320.5, 30
322, 321.5, 35
323, 322.5, 29
324, 323.5, 35
325, 324.5, 26
326, 325.5, 35
327, 326.5, 30
328, 327.5, 27
329, 328.5, 34
330, 329.5, 24
331, 330.5, 28
332, 331.5, 34
333, 332.5, 28
334, 333.5, 31
335, 334.5, 41
336, 335.5, 30
337, 336.5, 46
338, 337.5, 60
339, 338.5, 46
340, 339.5, 30
341, 340.5, 35
342, 341.5, 44
343, 342.5, 26
344, 343.5, 39
345, 344.5, 41
346, 345.5, 76
347, 346.5, 117
348, 347.5, 100
349, 348.5, 58
350, 349.5, 28
351, 350.5, 25
352, 351.5, 35
353, 352.5, 41
354, 353.5, 28
355, 354.5, 48
356, 355.5, 56
357, 356.5, 86
358, 357.5, 201
359, 358.5, 279
360, 359.5, 183
361, 360.5, 94
362, 361.5, 129
363, 362.5, 141
364, 363.5, 94
365, 364.5, 46
366, 365.5, 39
367, 366.5, 21
368, 367.5, 28
369, 368.5, 30
370, 369.5, 28
371, 370.5, 22
372, 371.5, 22
373, 372.5, 27
374, 373.5, 25
375, 374.5, 26
376, 375.5, 33
377, 376.5, 39
378, 377.5, 34
379, 378.5, 29
380, 379.5, 38
381, 380.5, 39
382, 381.5, 28
383, 382.5, 34
384, 383.5, 32
385, 384.5, 33
386, 385.5, 31
387, 386.5, 27
388, 387.5, 31
389, 388.5, 33
390, 389.5, 19
391, 390.5, 21
392, 391.5, 35
393, 392.5, 27
394, 393.5, 21
395, 394.5, 26
396, 395.5, 37
397, 396.5, 40
398, 397.5, 46
399, 398.5, 44
400, 399.5, 81
401, 400.5, 142
402, 401.5, 159
403, 402.5, 110
404, 403.5, 85
405, 404.5, 98
406, 405.5, 111
407, 406.5, 78
408, 407.5, 30
409, 408.5, 25
410, 409.5, 41
411, 410.5, 26
412, 411.5, 39
413, 412.5, 42
414, 413.5, 43
415, 414.5, 38
416, 415.5, 38
417, 416.5, 52
418, 417.5, 45
419, 418.5, 45
420, 419.5, 31
421, 420.5, 44
422, 421.5, 56
423, 422.5, 56
424, 423.5, 108
425, 424.5, 141
426, 425.5, 109
427, 426.5, 62
428, 427.5, 58
429, 428.5, 81
430, 429.5, 78
431, 430.5, 34
432, 431.5, 33
433, 432.5, 50
434, 433.5, 52
435, 434.5, 36
436, 435.5, 59
437, 436.5, 70
438, 437.5, 114
439, 438.5, 132
440, 439.5, 112
441, 440.5, 63
442, 441.5, 60
443, 442.5, 85
444, 443.5, 85
445, 444.5, 41
446, 445.5, 46
447, 446.5, 65
448, 447.5, 80
449, 448.5, 56
450, 449.5, 53
451, 450.5, 48
452, 451.5, 67
453, 452.5, 84
454, 453.5, 99
455, 454.5, 74
456, 455.5, 57
457, 456.5, 55
458, 457.5, 78
459, 458.5, 79
460, 459.5, 57
461, 460.5, 53
462, 461.5, 77
463, 462.5, 67
464, 463.5, 59
465, 464.5, 61
466, 465.5, 53
467, 466.5, 43
468, 467.5, 50
469, 468.5, 60
470, 469.5, 55
471, 470.5, 46
472, 471.5, 40
473, 472.5, 43
474, 473.5, 41
475, 474.5, 34
476, 475.5, 40
477, 476.5, 23
478, 477.5, 27
479, 478.5, 15
480, 479.5, 22
481, 480.5, 30
482, 481.5, 24
483, 482.5, 25
484, 483.5, 24
485, 484.5, 24
486, 485.5, 20
487, 486.5, 22
488, 487.5, 15
489, 488.5, 27
490, 489.5, 28
491, 490.5, 19
492, 491.5, 24
493, 492.5, 30
494, 493.5, 23
495, 494.5, 20
496, 495.5, 20
497, 496.5, 20
498, 497.5, 26
499, 498.5, 26
500, 499.5, 16
