# PHA DATA for PSI muX-2019-Nov created by Akira Sato
# Date: 2020-12-23 12:45:43
# Root file: ./data/his28190.root
# Energy cut range (ns): 130.0 - 141.0
# PHA data format: binID, energy(keV) at the bin center, content
1, -996, 1
2, -988, 3
3, -980, 2
4, -972, 1
5, -964, 2
6, -956, 2
7, -948, 2
8, -940, 3
9, -932, 1
10, -924, 3
11, -916, 1
12, -908, 3
13, -900, 1
14, -892, 3
15, -884, 2
16, -876, 1
17, -868, 2
18, -860, 3
19, -852, 2
20, -844, 3
21, -836, 1
22, -828, 2
23, -820, 1
24, -812, 0
25, -804, 2
26, -796, 4
27, -788, 3
28, -780, 3
29, -772, 3
30, -764, 1
31, -756, 1
32, -748, 2
33, -740, 1
34, -732, 0
35, -724, 3
36, -716, 1
37, -708, 3
38, -700, 2
39, -692, 1
40, -684, 1
41, -676, 1
42, -668, 4
43, -660, 2
44, -652, 2
45, -644, 2
46, -636, 3
47, -628, 2
48, -620, 2
49, -612, 2
50, -604, 4
51, -596, 3
52, -588, 1
53, -580, 1
54, -572, 4
55, -564, 2
56, -556, 0
57, -548, 3
58, -540, 1
59, -532, 0
60, -524, 2
61, -516, 5
62, -508, 3
63, -500, 0
64, -492, 2
65, -484, 3
66, -476, 0
67, -468, 3
68, -460, 3
69, -452, 2
70, -444, 3
71, -436, 0
72, -428, 1
73, -420, 2
74, -412, 3
75, -404, 3
76, -396, 1
77, -388, 3
78, -380, 0
79, -372, 2
80, -364, 2
81, -356, 2
82, -348, 2
83, -340, 0
84, -332, 3
85, -324, 1
86, -316, 6
87, -308, 2
88, -300, 1
89, -292, 1
90, -284, 2
91, -276, 0
92, -268, 2
93, -260, 0
94, -252, 0
95, -244, 1
96, -236, 2
97, -228, 1
98, -220, 0
99, -212, 0
100, -204, 1
101, -196, 5
102, -188, 2
103, -180, 3
104, -172, 4
105, -164, 2
106, -156, 1
107, -148, 0
108, -140, 2
109, -132, 2
110, -124, 1
111, -116, 0
112, -108, 1
113, -100, 1
114, -92, 0
115, -84, 2
116, -76, 1
117, -68, 0
118, -60, 2
119, -52, 4
120, -44, 1
121, -36, 5
122, -28, 2
123, -20, 4
124, -12, 0
125, -4, 4
126, 4, 6
127, 12, 11
128, 20, 22
129, 28, 82
130, 36, 155
131, 44, 272
132, 52, 284
133, 60, 343
134, 68, 366
135, 76, 392
136, 84, 425
137, 92, 471
138, 100, 478
139, 108, 486
140, 116, 487
141, 124, 472
142, 132, 480
143, 140, 463
144, 148, 433
145, 156, 406
146, 164, 389
147, 172, 368
148, 180, 340
149, 188, 300
150, 196, 337
151, 204, 300
152, 212, 249
153, 220, 279
154, 228, 235
155, 236, 199
156, 244, 213
157, 252, 205
158, 260, 168
159, 268, 140
160, 276, 156
161, 284, 122
162, 292, 99
163, 300, 92
164, 308, 92
165, 316, 70
166, 324, 62
167, 332, 55
168, 340, 52
169, 348, 43
170, 356, 45
171, 364, 27
172, 372, 34
173, 380, 36
174, 388, 23
175, 396, 24
176, 404, 22
177, 412, 27
178, 420, 19
179, 428, 19
180, 436, 25
181, 444, 21
182, 452, 20
183, 460, 21
184, 468, 16
185, 476, 25
186, 484, 19
187, 492, 15
188, 500, 16
189, 508, 11
190, 516, 13
191, 524, 15
192, 532, 10
193, 540, 14
194, 548, 22
195, 556, 11
196, 564, 19
197, 572, 9
198, 580, 7
199, 588, 20
200, 596, 12
201, 604, 10
202, 612, 11
203, 620, 10
204, 628, 15
205, 636, 9
206, 644, 14
207, 652, 11
208, 660, 4
209, 668, 13
210, 676, 4
211, 684, 6
212, 692, 8
213, 700, 8
214, 708, 8
215, 716, 5
216, 724, 10
217, 732, 8
218, 740, 8
219, 748, 10
220, 756, 6
221, 764, 3
222, 772, 6
223, 780, 7
224, 788, 17
225, 796, 5
226, 804, 10
227, 812, 5
228, 820, 3
229, 828, 3
230, 836, 4
231, 844, 5
232, 852, 6
233, 860, 7
234, 868, 5
235, 876, 2
236, 884, 7
237, 892, 7
238, 900, 8
239, 908, 6
240, 916, 2
241, 924, 7
242, 932, 3
243, 940, 5
244, 948, 7
245, 956, 6
246, 964, 5
247, 972, 8
248, 980, 7
249, 988, 6
250, 996, 6
251, 1004, 5
252, 1012, 3
253, 1020, 2
254, 1028, 4
255, 1036, 3
256, 1044, 3
257, 1052, 6
258, 1060, 3
259, 1068, 5
260, 1076, 7
261, 1084, 5
262, 1092, 4
263, 1100, 4
264, 1108, 4
265, 1116, 2
266, 1124, 2
267, 1132, 5
268, 1140, 1
269, 1148, 5
270, 1156, 4
271, 1164, 3
272, 1172, 2
273, 1180, 4
274, 1188, 3
275, 1196, 7
276, 1204, 5
277, 1212, 7
278, 1220, 5
279, 1228, 7
280, 1236, 2
281, 1244, 2
282, 1252, 5
283, 1260, 4
284, 1268, 5
285, 1276, 0
286, 1284, 5
287, 1292, 3
288, 1300, 1
289, 1308, 4
290, 1316, 3
291, 1324, 2
292, 1332, 3
293, 1340, 8
294, 1348, 4
295, 1356, 4
296, 1364, 3
297, 1372, 4
298, 1380, 6
299, 1388, 2
300, 1396, 8
