# PHA DATA for PSI muX-2019-Nov created by Akira Sato
# Date: 2020-08-07 15:04:10
# Root file: ./data/merge.root
# Time cut range (ns): -1008.0 - 1408.0
# PHA data format: binID, energy(keV) at the bin center, content
1, 0.5, 4969
2, 1.5, 5265
3, 2.5, 2973
4, 3.5, 2103
5, 4.5, 2125
6, 5.5, 2222
7, 6.5, 2399
8, 7.5, 2556
9, 8.5, 3040
10, 9.5, 3655
11, 10.5, 4603
12, 11.5, 5687
13, 12.5, 6893
14, 13.5, 8063
15, 14.5, 9349
16, 15.5, 10340
17, 16.5, 11094
18, 17.5, 11730
19, 18.5, 12073
20, 19.5, 11762
21, 20.5, 11815
22, 21.5, 11536
23, 22.5, 12044
24, 23.5, 11766
25, 24.5, 11165
26, 25.5, 10682
27, 26.5, 10407
28, 27.5, 10088
29, 28.5, 10039
30, 29.5, 9866
31, 30.5, 9908
32, 31.5, 10077
33, 32.5, 10156
34, 33.5, 10440
35, 34.5, 10671
36, 35.5, 10534
37, 36.5, 10857
38, 37.5, 11488
39, 38.5, 11561
40, 39.5, 11375
41, 40.5, 12026
42, 41.5, 15174
43, 42.5, 19621
44, 43.5, 18307
45, 44.5, 13386
46, 45.5, 11655
47, 46.5, 11382
48, 47.5, 11350
49, 48.5, 11483
50, 49.5, 11933
51, 50.5, 12305
52, 51.5, 13250
53, 52.5, 14439
54, 53.5, 15868
55, 54.5, 17935
56, 55.5, 16838
57, 56.5, 15481
58, 57.5, 15022
59, 58.5, 15566
60, 59.5, 16082
61, 60.5, 16530
62, 61.5, 17082
63, 62.5, 17620
64, 63.5, 19121
65, 64.5, 22366
66, 65.5, 28371
67, 66.5, 29610
68, 67.5, 23908
69, 68.5, 21321
70, 69.5, 21201
71, 70.5, 21647
72, 71.5, 22691
73, 72.5, 24027
74, 73.5, 27955
75, 74.5, 36736
76, 75.5, 38493
77, 76.5, 28275
78, 77.5, 21583
79, 78.5, 20705
80, 79.5, 22523
81, 80.5, 23050
82, 81.5, 22285
83, 82.5, 24209
84, 83.5, 28910
85, 84.5, 28553
86, 85.5, 24455
87, 86.5, 23587
88, 87.5, 25801
89, 88.5, 31583
90, 89.5, 33706
91, 90.5, 34445
92, 91.5, 52284
93, 92.5, 82056
94, 93.5, 72107
95, 94.5, 39536
96, 95.5, 23166
97, 96.5, 18753
98, 97.5, 16545
99, 98.5, 15925
100, 99.5, 16002
101, 100.5, 15824
102, 101.5, 15298
103, 102.5, 16095
104, 103.5, 17697
105, 104.5, 19292
106, 105.5, 17717
107, 106.5, 15461
108, 107.5, 14622
109, 108.5, 14545
110, 109.5, 14233
111, 110.5, 14264
112, 111.5, 14464
113, 112.5, 14605
114, 113.5, 14712
115, 114.5, 14543
116, 115.5, 14422
117, 116.5, 14524
118, 117.5, 14632
119, 118.5, 14859
120, 119.5, 14923
121, 120.5, 15768
122, 121.5, 15957
123, 122.5, 17298
124, 123.5, 20610
125, 124.5, 32461
126, 125.5, 51970
127, 126.5, 48422
128, 127.5, 25503
129, 128.5, 15324
130, 129.5, 13795
131, 130.5, 14052
132, 131.5, 14975
133, 132.5, 18015
134, 133.5, 21724
135, 134.5, 25126
136, 135.5, 28724
137, 136.5, 23745
138, 137.5, 15754
139, 138.5, 12146
140, 139.5, 11375
141, 140.5, 11208
142, 141.5, 10964
143, 142.5, 10814
144, 143.5, 10591
145, 144.5, 10613
146, 145.5, 10724
147, 146.5, 10431
148, 147.5, 10419
149, 148.5, 10632
150, 149.5, 10685
151, 150.5, 10885
152, 151.5, 10728
153, 152.5, 11376
154, 153.5, 11463
155, 154.5, 13139
156, 155.5, 17302
157, 156.5, 19749
158, 157.5, 18412
159, 158.5, 19555
160, 159.5, 17525
161, 160.5, 12669
162, 161.5, 10004
163, 162.5, 9221
164, 163.5, 9523
165, 164.5, 9033
166, 165.5, 9363
167, 166.5, 10379
168, 167.5, 10330
169, 168.5, 9588
170, 169.5, 9455
171, 170.5, 9907
172, 171.5, 11467
173, 172.5, 12939
174, 173.5, 12708
175, 174.5, 10684
176, 175.5, 9029
177, 176.5, 8440
178, 177.5, 8373
179, 178.5, 8247
180, 179.5, 8325
181, 180.5, 8855
182, 181.5, 9652
183, 182.5, 9675
184, 183.5, 8720
185, 184.5, 8061
186, 185.5, 8377
187, 186.5, 9018
188, 187.5, 10243
189, 188.5, 10846
190, 189.5, 9937
191, 190.5, 8721
192, 191.5, 8607
193, 192.5, 8987
194, 193.5, 8769
195, 194.5, 8070
196, 195.5, 8332
197, 196.5, 8298
198, 197.5, 8244
199, 198.5, 8268
200, 199.5, 8185
201, 200.5, 7783
202, 201.5, 7755
203, 202.5, 7604
204, 203.5, 7339
205, 204.5, 7316
206, 205.5, 7310
207, 206.5, 7178
208, 207.5, 7224
209, 208.5, 7038
210, 209.5, 7258
211, 210.5, 8392
212, 211.5, 9843
213, 212.5, 9237
214, 213.5, 7450
215, 214.5, 7224
216, 215.5, 6796
217, 216.5, 6610
218, 217.5, 6655
219, 218.5, 6608
220, 219.5, 6359
221, 220.5, 6580
222, 221.5, 6464
223, 222.5, 6493
224, 223.5, 6443
225, 224.5, 6509
226, 225.5, 6880
227, 226.5, 6830
228, 227.5, 6765
229, 228.5, 6563
230, 229.5, 6368
231, 230.5, 6349
232, 231.5, 6292
233, 232.5, 6462
234, 233.5, 6540
235, 234.5, 6286
236, 235.5, 6373
237, 236.5, 6427
238, 237.5, 6450
239, 238.5, 6723
240, 239.5, 6584
241, 240.5, 6464
242, 241.5, 7033
243, 242.5, 7558
244, 243.5, 8210
245, 244.5, 7846
246, 245.5, 7196
247, 246.5, 6693
248, 247.5, 6312
249, 248.5, 6431
250, 249.5, 6827
251, 250.5, 7509
252, 251.5, 8146
253, 252.5, 7344
254, 253.5, 6826
255, 254.5, 6782
256, 255.5, 6640
257, 256.5, 7024
258, 257.5, 7257
